accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-5.736380093540053432e-03,-2.059938653809390181e-05,-9.792172754356263553e+00
5.196595572395001222e-03,-2.950892975722395339e-03,-9.795569194846882155e+00
7.932802621223819864e-03,1.579898536205327254e-03,-9.792798636137442614e+00
-8.421005203807931214e-05,-4.835307175559282883e-03,-9.792384844634895558e+00
-1.273410443501229658e-02,7.534628084780956372e-03,-9.799122637694669180e+00
-7.785042472706340047e-03,4.038488551550182062e-03,-9.790950034732949447e+00
-1.832323666541571191e-04,1.397392482692310939e-03,-9.798768287373269104e+00
8.880367350565382401e-03,-6.455790728562503175e-03,-9.786977311206710439e+00
-5.385789481006705154e-03,7.952349143583373539e-03,-9.788923073767808347e+00
8.343083249002281737e-03,-3.263236621721099170e-03,-9.798568463785890970e+00
7.461135731788441292e-03,-2.409352220786782107e-03,-9.795105887790249710e+00
9.934911573680330066e-03,-5.165671984434386591e-03,-9.798081891298307866e+00
1.403052249910706072e-04,-1.042711603497074348e-03,-9.795569102348530066e+00
4.482695476630235362e-03,1.928853670270876250e-03,-9.784358002784193431e+00
-3.122488778340898113e-04,-6.437344262252102205e-03,-9.794974389887363131e+00
7.821872465517611551e-04,3.819257377635723420e-03,-9.798268040975798954e+00
-8.059851355564378109e-03,-2.190568752872760604e-03,-9.798250971516798913e+00
6.942644735515798859e-03,-2.670980055924177064e-03,-9.804989725669122080e+00
6.566593658342274702e-03,2.956960401687361989e-04,-9.786134998582548761e+00
2.319158743880042183e-03,-9.962825549024775101e-04,-9.803888941645716670e+00
5.853442293337749423e-03,9.768142044509124742e-05,-9.795930023016431676e+00
-6.757826694058135381e-04,1.523256726149754435e-03,-9.798383785643066446e+00
-7.043885867907116564e-03,-3.685638476557698447e-03,-9.797566713385084114e+00
5.944488146643927412e-03,-4.352052957078464575e-03,-9.797883846788018047e+00
4.949365419150981993e-03,-1.633379824750113814e-03,-9.796320968758193359e+00
4.906483530644409168e-03,9.623062799416393261e-05,-9.793776323147946883e+00
5.878782450123665702e-03,-3.482178530706563600e-03,-9.790919135971261511e+00
-5.514114657397516280e-03,-1.483563523409087148e-03,-9.801287772613161309e+00
1.181690781630136263e-03,1.198234910924684919e-02,-9.794236762153715858e+00
6.474560489065306190e-07,1.123180815955478629e-03,-9.802538236839705377e+00
8.533265348166624818e-04,-1.661194136976121370e-03,-9.792718083687827146e+00
4.840568937615452247e-03,4.496958769088347380e-03,-9.793615439748911911e+00
-4.231330822391625446e-03,2.459577515609031283e-03,-9.792128112570868126e+00
1.001130516529456262e-02,-2.221923084476617322e-03,-9.794365575938668300e+00
-3.278348522083543437e-03,-5.822562235480128329e-03,-9.797891622800785072e+00
2.450654388596992719e-03,7.342563993229886225e-03,-9.799801986150288968e+00
-8.697422111983514267e-03,2.908767022300332190e-03,-9.798504379297041211e+00
-7.604898953610362243e-04,-5.960084719898187978e-03,-9.790719779768073394e+00
1.316454521355277631e-03,-3.001036669418396044e-03,-9.793614044726281165e+00
9.208097121558466575e-03,-5.830327335481787915e-03,-9.795105063198187523e+00
1.175884922136738366e-03,3.879592068406398451e-03,-9.788480779298778245e+00
4.940982722948454586e-03,3.004801373815313426e-03,-9.796594505150137522e+00
1.263099038616705139e-02,-3.960129163951786775e-03,-9.793812248947439514e+00
9.567416972038571624e-03,-7.967657736333271651e-03,-9.796177770434908894e+00
-2.176632637551172676e-04,-3.552871356142700814e-03,-9.785894452137155142e+00
-4.647175046802827156e-03,-1.710446547530200664e-03,-9.800658595031743303e+00
