gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.199998383362010301e+01,1.200000153122733479e+02,1.537569067787165800e+01,9.984629005822593939e+00,-6.166391356928600104e-02,3.785375760660888989e-02
3.200001435641093650e+01,1.200000011891700211e+02,-1.268328642101313131e+00,9.979588126504040702e+00,-5.320424228161655528e-02,-4.030367529985404845e-02
3.200001383693732038e+01,1.200001590934787288e+02,-3.591396126643368270e+00,9.991320577675558923e+00,-1.263380208049125208e-02,1.214448409956220797e-02
3.199997896201794489e+01,1.199999722214882354e+02,-5.041306309237810979e+00,1.005465670099035158e+01,6.847944472209224753e-02,1.406066692486955018e-02
3.200010614405772458e+01,1.199999392423437428e+02,-3.607833644879111290e+00,1.000098028436950237e+01,1.786432078122290662e-03,-1.213618986970415453e-02
3.200006428162161853e+01,1.199999958405281291e+02,-1.804570941482018354e+00,1.008940857806092062e+01,7.063509661951668239e-02,-3.229614047300235352e-02
3.200005942302289696e+01,1.199999951243386107e+02,-6.250210497534867571e+00,1.003426045326933114e+01,4.755204641192753434e-02,-3.972545056560288640e-03
3.200006920595686921e+01,1.199999882540501517e+02,5.744681083968498747e+00,1.004627014069100888e+01,-1.963152840337551233e-02,-8.253044757119252020e-03
3.200007097312644788e+01,1.199999239156705357e+02,-1.916277957316686598e-02,9.948651202868148857e+00,-5.254527546010642758e-02,-4.710789178809128563e-02
3.200003281637410169e+01,1.199999300271455240e+02,-5.746155857755003149e-01,9.958053235892633026e+00,-4.546873275905283229e-02,2.845958087798816302e-02
3.200012785108719982e+01,1.199999968761888027e+02,3.833451070966289898e+00,9.978119601603493649e+00,-2.172378661606503419e-02,1.507131108495388117e-02
3.200005435108188578e+01,1.199999470951846803e+02,1.835805487734517172e+01,9.951189636154209595e+00,5.014462636345973223e-02,1.034001821465060792e-03
3.200008514385578451e+01,1.200000397289558691e+02,-8.873093087145514701e+00,9.938550066009737449e+00,4.114790881418814439e-02,-8.240516913939587018e-02
3.200005902094082444e+01,1.199999515339461311e+02,-2.654456111165221177e+00,9.915397382937909398e+00,-4.518730722483895595e-02,7.856173515609489455e-02
3.200015068418213104e+01,1.199999729962768242e+02,-1.074097136394855667e+01,1.005294678379709339e+01,6.246174089793931489e-02,-3.244988107171235120e-02
3.200011373837034512e+01,1.199999563964584723e+02,7.143723150829721646e+00,9.877864073375103970e+00,-3.493458893047422971e-04,1.241237819479621557e-02
3.200015421600224386e+01,1.200000375639585144e+02,-7.656603201393102687e+00,9.977402788424493352e+00,3.409938032295786736e-02,-3.578405821596744585e-02
3.200016462911037962e+01,1.199999883855883098e+02,-3.405137269647339426e+00,9.991669235180768993e+00,3.415985484268598688e-02,-3.092614599813856002e-02
3.200015349395641095e+01,1.199999697756019685e+02,-4.133689083962017286e+00,9.978357910846048284e+00,-2.994880752718625042e-02,-6.688067184371686291e-02
3.200013448948198658e+01,1.200000279456766634e+02,3.011679140449030623e+00,1.004427785712342391e+01,-2.567350407397192558e-02,1.175979908992678957e-02
3.200019320073896267e+01,1.199999451549875147e+02,-6.829904773092424719e+00,1.004612164989858591e+01,-3.889267590320524826e-02,2.802598181715925882e-02
3.200024365361340983e+01,1.199999679787376579e+02,3.288072449289200172e+00,9.878565236321778187e+00,-4.146063175428777586e-02,1.746990849299721871e-02
3.200014403086377257e+01,1.199999909719100089e+02,3.443603759442341872e+00,1.010027736791522557e+01,1.698840734901647248e-02,-3.112927392724483544e-02
