gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-3.166448699508560283e-02,2.911324431085099331e-03,-2.940265232003382717e-02
1.321250212946539077e-02,-5.204034678576559964e-02,-2.980201222166904348e-02
-1.030555548306606034e-02,-2.084978863649016023e-02,-9.986226512509119302e-02
-1.287001387655468607e-02,5.350925839081346891e-02,-6.245073583231618847e-02
6.749288325501703878e-02,1.603944646407624505e-02,6.290642439604565705e-02
8.448278575828940817e-02,-5.483081877919242925e-02,-1.040838935559526730e-02
9.434123506444182586e-03,-2.565579193484484460e-02,2.908602203538221583e-03
-5.858876056135921273e-02,2.715937455431236339e-02,-5.301473931655543981e-02
7.066789953608028883e-03,-5.763751687033250720e-02,-4.027225289940541963e-02
5.661534413104586660e-02,1.908250342947733630e-02,-1.761939383814555699e-02
2.447278121387750499e-02,-4.393101373160416406e-02,6.477515259979971241e-02
9.728249143594028172e-04,-3.787547687183191736e-02,1.747324075970780113e-02
4.519168205893406287e-02,-2.038682758965562267e-02,1.023591423358654251e-03
6.160950801691712081e-02,-5.163852283443173818e-02,-2.941871741936201781e-02
5.677576914296403321e-02,5.003820304664177709e-02,9.144967462629270336e-03
-3.241840581533930732e-02,6.370230817556321416e-03,-1.429760757697462123e-02
-1.699007476740807543e-02,-1.148894740534581356e-02,-4.993309452855626551e-02
9.422935073509933201e-02,3.202272618011271776e-02,8.035844373435113014e-03
-2.146908312941662664e-02,2.795548189557319971e-02,1.408064660145172398e-02
-1.802602373119252532e-02,-7.624798489792576628e-02,1.594530843756928815e-02
1.926681406842961977e-02,-3.662476651733904964e-02,2.154405486182937868e-02
-1.329637668153927678e-02,2.352698551363807331e-02,-1.253964402859603609e-02
-2.458300542547111819e-02,-1.110921235446034674e-02,2.915125382194917042e-02
5.759770194971707696e-02,-4.447285178115505111e-02,4.795672186861030944e-02
-8.700701574368138735e-02,3.349321898598504182e-02,-1.148270021546697328e-01
2.160420488035068309e-02,1.706337841561108432e-02,-3.721887771522270488e-02
5.085896564373791097e-03,6.020066030470802576e-02,5.737206789803039192e-02
-1.674013418766348224e-02,3.705835102662557046e-03,-4.598443669650850024e-02
-1.654296044944885552e-02,3.376192432221269274e-02,5.738722700579129005e-02
1.706818139002158619e-02,1.203773990997728839e-02,-2.150422152598974437e-05
-4.590962348381530389e-02,3.381705199899621983e-02,-4.040336504013771618e-02
-4.141297383244796348e-02,-5.512669931359562986e-02,5.279822303062202404e-02
-4.044251105729222001e-02,2.857731101179544417e-02,-5.356948185898672589e-03
-9.562521071597046562e-02,-3.291205774774708798e-02,3.783133696635167242e-02
-9.110311729825557037e-02,-3.632583612232786335e-02,5.003712049152216589e-03
3.118815105472391713e-02,3.384387126875875590e-02,2.855941828194632701e-02
2.826124936410764898e-02,-4.628952464669416206e-02,-4.020742799771873099e-02
4.121558108574229634e-02,5.891324469953918702e-02,-1.749315741675771044e-02
-9.522608977078416553e-03,5.200301922656645585e-03,1.192304961463931390e-01
-2.136546416773959026e-02,2.024075584979104225e-02,2.888815404092830857e-02
-2.259739189759821590e-02,1.426795972225625543e-03,5.173698888307421556e-03
4.750810152130586356e-02,1.027249209022927916e-03,3.145531982419711575e-02
4.162023708250738030e-02,3.648770439484506217e-02,2.215833778152115352e-02
-8.155408269253906772e-03,-1.581729126010730443e-02,-4.546752456920440805e-02
-3.902925488604026133e-02,6.079911623270466831e-02,1.946444480564040250e-02
4.020683709793569649e-02,4.355213057541530014e-02,1.202307027188188049e-01
4.211067289911912120e-02,-1.908828842839201123e-02,1.230835271279410309e-02
-1.528137700644742469e-02,-6.749722719614342781e-02,-1.004919247617972779e-02
7.227908873305757820e-02,-2.663882273693259084e-02,6.874003702810784454e-03
-4.071651071808297939e-02,6.449689894228607945e-02,4.448990666500916846e-02
-4.869820640258531487e-03,-5.859167642334321691e-02,-3.741460894171885071e-02
2.181306830910297381e-02,9.514197417717101812e-02,-1.621880973627955885e-02
-4.378786410911565674e-02,1.167228123711351595e-02,5.776315083174936998e-02
-5.788493801524607213e-02,-1.062027002344387849e-01,-1.874717740158901580e-02
1.097948218349645635e-02,2.261434152129345246e-02,-4.750953569921638475e-02
-6.468501375754572014e-02,1.856530971364515198e-02,6.136345966887913478e-02
8.056102293971760531e-02,-1.938236666291566490e-02,7.569335325414309167e-03
-6.504740373187681279e-02,5.592414327641655886e-02,-2.369014956168294384e-02
-2.819655319804746998e-02,-4.314424619410037881e-02,-6.160092615580127495e-03
9.856516973089735068e-02,2.314975373889145704e-02,-3.223877482597323207e-02
8.444271030251908339e-02,2.633243867009736269e-02,7.749605206154467317e-03
2.051329562709946000e-02,7.312304574057648145e-03,5.079376640212228400e-02
1.951357806677111659e-02,2.424783594395612044e-02,4.460867343289290354e-02
-2.974625538596983171e-02,-9.582751566971518808e-03,2.161169211029810924e-02
-1.203547431195662459e-02,-4.786822986855632928e-02,4.026215213041504926e-02
-3.872694763248086570e-03,1.254196716699123304e-01,4.236399641173559799e-02
-1.096969627476810372e-01,-7.052652167968805064e-02,-3.793868817011608607e-02
1.536489637654290218e-02,1.606678947831716164e-02,2.008113840304224032e-02
9.800492684027396414e-03,1.880863044387059632e-02,-7.017025474697073835e-03
5.794110511376272810e-03,1.104906493287947239e-02,1.682364907902014067e-02
-6.904863050642896793e-02,8.546860624581558222e-03,5.325586081008053772e-03
-5.081661776952094839e-02,-6.181354638714085976e-03,1.923465733516411050e-02
3.428423264887991290e-02,2.407740238207484174e-02,2.081514096694274049e-02
2.355066625667009972e-02,-1.636385551471399025e-02,-7.795937941975929208e-02
5.604417365029902565e-03,-6.313155390282325363e-02,7.254085438469888569e-02
-5.711280565169116197e-02,2.818890982911998432e-03,3.873884589542432588e-02
1.065657514725002614e-02,6.088050901034511991e-02,4.377734027286129398e-02
4.193152854711866551e-02,-5.502116077512394371e-02,5.654889120373899486e-02
2.403342725673584396e-02,-7.811929390923979394e-03,5.360656724233611031e-02
-2.516385038141128253e-02,-4.015491311211601133e-02,-5.525540988403037160e-03
4.564394435937077499e-02,8.087434800047322778e-03,-2.615578523184370480e-02
7.074111825493609174e-02,4.262665168797644122e-02,-5.629163170263162819e-02
-4.771579692734122247e-02,-1.935082014818866047e-02,9.008644171667006678e-03
-1.279592604075912264e-02,8.816758879059714837e-03,-2.380226951638888394e-02
-4.100207182567554981e-02,5.686588788332969102e-02,2.720990048020478780e-02
-3.501094841809049979e-02,3.425083043131009475e-02,3.920845854507169770e-02
-8.819232247625294341e-02,5.506118839368722567e-02,1.197846389699213157e-02
-5.525455834613717671e-02,2.833455009927331875e-02,2.314962159700505867e-02
-5.357522663075408795e-03,-4.247026965342876048e-02,-5.522122563378489835e-02
-2.081101719857942831e-02,-2.031129916125234622e-02,-6.313101554091100041e-03
1.048714047614658640e-02,1.138857945283186339e-02,5.612095703806550817e-02
1.315313256272495138e-02,-5.139805658627055740e-02,-5.685216697713797035e-02
1.097865682808749771e-02,-3.030769948462251617e-02,1.309949890447626580e-02
2.561213431503927065e-02,-2.402367730809333579e-02,1.381027435356857631e-02
3.406086047532750488e-02,-5.867071680851675824e-02,-4.859376423400127432e-02
2.248301724783559677e-02,-4.874975200795807900e-02,3.157739042165640109e-02
2.773337722120401347e-02,-9.378143201854238428e-03,6.269511964899464329e-02
-1.014257901215333824e-01,2.049234215886869964e-02,-5.407494616453562344e-03
-5.289996177489075108e-02,-3.744250421633656557e-03,6.001904623808092254e-02
3.046695191059550778e-02,-5.562608803347476351e-03,-1.810332419277073043e-02
-5.458709202853098685e-02,4.754376391292830517e-02,-1.659836804321787943e-02
-8.651491063117416891e-02,6.721405933029558910e-02,5.913655485247480692e-02
3.952270403078694816e-02,2.507081327495249215e-02,-8.133073209218273647e-02
8.326384192437778775e-02,-4.987818075007777879e-02,3.457042796997552431e-02
5.998860949547096810e-02,3.031722490055137678e-02,-5.478056540573818939e-02
-2.547128233045473436e-02,2.317520421841487085e-02,-3.170420557834374015e-02
5.232153089551101061e-02,5.643578441583205901e-02,-3.849575843292710187e-02
-7.186937165628491664e-02,7.461843596439965420e-02,-1.352215456987966580e-02
2.882399878610369601e-02,-4.229068271726080935e-02,-2.214194168421108888e-02
4.227637288817988337e-02,-2.365865817410912897e-02,-6.976362015900599255e-03
7.048033953799939799e-02,-4.404079484250585791e-02,1.567431542110459680e-02
-5.550191813787523805e-03,1.553732279208322811e-02,-2.493826389169466820e-02
5.894959948751379158e-02,-2.437494277003851920e-02,-6.187927597733578616e-02
2.219316089293345978e-03,-1.932379528309512845e-02,-1.402687868106157996e-02
-6.452431236714854801e-02,-1.092729230665802770e-01,-2.201028512191239087e-02
9.826649421092703909e-03,2.835615432918503834e-02,1.101829875610874088e-01
-2.838318259780161362e-02,2.969575138507551948e-02,3.525987697661366028e-04
-3.193074296192391359e-02,-4.002778042344291853e-02,8.857370938531242133e-03
-1.403493991883972974e-02,4.774356970176295636e-03,-1.181572312543538450e-02
3.970956186067586130e-02,1.227529689180653291e-02,6.452363921251139112e-02
