mag_x (uT),mag_y (uT),mag_z (uT)
3.250714859830004855e+01,-3.598507291685746790e+00,3.769852367584272201e+01
3.252096161648715622e+01,-3.618047869836000352e+00,3.769916148886346008e+01
3.253596294213890161e+01,-3.600892748706550073e+00,3.769923571818959118e+01
3.251186403699717431e+01,-3.621168476559505578e+00,3.771161805634555009e+01
3.253417141225200737e+01,-3.609643127899715420e+00,3.771658811518253884e+01
3.251263916850069080e+01,-3.606824080517446518e+00,3.769858958200869381e+01
3.250512325031854033e+01,-3.626768298703283655e+00,3.771597172500131023e+01
3.252437779347687297e+01,-3.614343847633857187e+00,3.771538031041293948e+01
3.251396880254807797e+01,-3.611817577294428094e+00,3.770423360227900389e+01
3.251010558968401654e+01,-3.618541226639525821e+00,3.769850044873373918e+01
3.253650278640628812e+01,-3.634968003440185225e+00,3.769437407744229773e+01
3.252541379239897168e+01,-3.616950418379430321e+00,3.770324801087064515e+01
3.252101765258844068e+01,-3.602662237348257079e+00,3.769833829695035377e+01
3.251575191678183074e+01,-3.604281768632970451e+00,3.768229341074042082e+01
3.249638942034643918e+01,-3.596727341687581347e+00,3.769904135532518552e+01
3.252746202498596517e+01,-3.604060205316878207e+00,3.770107461781096703e+01
3.253007521151594972e+01,-3.609143030724288881e+00,3.771096089082950442e+01
3.250005267097176898e+01,-3.618131195148358792e+00,3.771277579956953474e+01
3.253519107852566350e+01,-3.606363613328211315e+00,3.768566844179274966e+01
3.251092435027009486e+01,-3.607979757131576815e+00,3.768961612469820466e+01
3.252339764870573902e+01,-3.607293123409778701e+00,3.770784549131698782e+01
3.251900044919257482e+01,-3.620170108535789577e+00,3.769876792606208227e+01
3.252041483947537159e+01,-3.604115573617014068e+00,3.770293715300296356e+01
3.252459577657379697e+01,-3.617599805367357035e+00,3.769714711204414215e+01
3.251023625225872138e+01,-3.613391738848650725e+00,3.771492962909808000e+01
3.251727920942850147e+01,-3.593914847696640713e+00,3.769095843839970428e+01
3.252366490161291068e+01,-3.605641753314638098e+00,3.770260451710118588e+01
3.252590846804174873e+01,-3.612189699373228535e+00,3.767927411367040946e+01
3.251181364771993998e+01,-3.588973823460791301e+00,3.771225311810349723e+01
3.250641777769270391e+01,-3.581514394112782274e+00,3.769746633783889678e+01
3.249904817706249105e+01,-3.627036125541055700e+00,3.771511802269261437e+01
3.251730361827550553e+01,-3.618576031384176606e+00,3.770520585860457885e+01
3.251620543437297073e+01,-3.603230648502900202e+00,3.769282540604640275e+01
3.251652138656021407e+01,-3.621167252414680071e+00,3.770931316763945063e+01
3.252567227250555959e+01,-3.616516899603321900e+00,3.770414417692411746e+01
3.252111203666734696e+01,-3.627450447421791235e+00,3.768367298778567687e+01
3.251751119869814488e+01,-3.618196220186990608e+00,3.768147105798527718e+01
3.252257653670059057e+01,-3.608167558505172234e+00,3.769159584366563109e+01
3.251576199593301197e+01,-3.612801215086129059e+00,3.769870937142326284e+01
3.251859689810903831e+01,-3.607424541033841248e+00,3.770450822886785147e+01
3.254282580748448339e+01,-3.599350932064081743e+00,3.768084264475706391e+01
3.253350373507496585e+01,-3.611621519907247002e+00,3.770554915195609880e+01
3.251209235467386804e+01,-3.603873054136228493e+00,3.769092840995497085e+01
3.253999088261029016e+01,-3.623658980305603183e+00,3.771629213144507986e+01
3.252245681481147699e+01,-3.604662480418635351e+00,3.768723008583364731e+01
3.252880712723187173e+01,-3.607693723960508247e+00,3.771366898205889129e+01
3.251560239004702169e+01,-3.618510499577768602e+00,3.770403227132850787e+01
3.250580909872773105e+01,-3.612632635702531569e+00,3.770518543329787065e+01
3.253565142887592998e+01,-3.609860840835005913e+00,3.769305595222665772e+01
3.252201299182672045e+01,-3.607447998307102388e+00,3.770760242734692014e+01
3.253299240556226124e+01,-3.635383871169413528e+00,3.769840286358684267e+01
3.251174293058780762e+01,-3.601405986811878623e+00,3.771098708590557891e+01
3.252873281924367177e+01,-3.599012815922650432e+00,3.771705571393658829e+01
3.251620766060126044e+01,-3.597109512289325739e+00,3.771385390936887916e+01
3.250248696336383603e+01,-3.607133572395825105e+00,3.769897667098844352e+01
3.252637128333257266e+01,-3.629034438173360133e+00,3.770828151838485098e+01
3.252185128078142640e+01,-3.603583489031462417e+00,3.769579488086403529e+01
3.253796610071582762e+01,-3.613679610754045868e+00,3.771026180519428550e+01
3.251415276144052768e+01,-3.618598691116289068e+00,3.769952161909971977e+01
3.252170804501303536e+01,-3.603159417437405310e+00,3.770750325199251307e+01
3.250208117393366791e+01,-3.607767944940589722e+00,3.769730135520553205e+01
3.251200231606273405e+01,-3.613985153694545094e+00,3.769872324080252923e+01
3.252432664641280269e+01,-3.604739843309709535e+00,3.770201271589181147e+01
3.251165888208231536e+01,-3.601818427866407379e+00,3.769724292510389319e+01
3.253042735094744131e+01,-3.617399693970391183e+00,3.770436538013640160e+01
3.250165101267830181e+01,-3.601974037001907991e+00,3.768894254250649567e+01
3.250653268421042696e+01,-3.606590264084147623e+00,3.769475143086688718e+01
3.251631360711252228e+01,-3.600085275402130414e+00,3.771356257782409926e+01
3.250491367996288972e+01,-3.598839008457165534e+00,3.770112881037571384e+01
3.252138726214992204e+01,-3.622779062658151528e+00,3.769136696589217195e+01
3.251787480039145350e+01,-3.600357033205087376e+00,3.771129098654447631e+01
