ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000090182052048e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000180364103386e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000270546156145e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000360728207482e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000450910259531e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000541092310868e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000631274362917e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000721456414965e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000811638466303e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000901820518351e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000992002569689e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200001082184621737e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200001172366673075e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200001262548725123e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200001352730777171e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200001442912828509e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200001533094880557e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200001623276931895e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200001713458983943e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200001803641035281e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200001893823086618e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200001984005138667e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200002074187190004e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200002164369242053e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200002254551292680e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200002344733344728e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200002434915396776e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200002525097448114e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200002615279499452e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200002705461550789e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200002795643602127e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200002885825654175e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200002976007705513e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200003066189756851e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200003156371808188e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200003246553859526e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200003336735911574e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200003426917962202e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200003517100014250e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200003607282065587e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200003697464116925e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200003787646168263e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200003877828219601e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200003968010270938e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200004058192322276e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200004148374373614e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200004238556424951e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200004328738476289e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200004418920526916e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200004509102578254e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200004599284630302e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200004689466680929e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200004779648732267e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200004869830783605e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200004960012834232e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200005050194885570e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200005140376936907e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200005230558988245e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200005320741039583e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200005410923090921e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200005501105141548e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200005591287192885e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200005681469244223e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200005771651294850e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200005861833345477e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200005952015396815e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200006042197447442e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200006132379498780e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200006222561550118e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200006312743601455e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200006402925652083e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200006493107702710e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200006583289754047e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200006673471804675e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200006763653856012e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200006853835906639e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200006944017957267e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200007034200008604e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200007124382059231e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200007214564110569e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200007304746161196e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200007394928211824e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200007485110263161e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200007575292313788e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200007665474364416e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200007755656415043e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200007845838466380e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200007936020516297e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200008026202567635e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200008116384618262e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200008206566669600e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200008296748719516e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200008386930770143e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200008477112821481e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200008567294872108e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200008657476922025e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200008747658973363e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200008837841023990e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200008928023074617e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200009018205124534e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200009108387175871e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200009198569226498e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200009288751277126e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200009378933327042e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200009469115377669e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200009559297428297e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200009649479478924e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200009739661529551e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200009829843579467e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200009920025630095e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200010010207680722e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200010100389731349e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200010190571781266e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200010280753831893e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200010370935882520e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200010461117933147e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200010551299983774e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200010641482033691e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200010731664084318e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200010821846134945e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200010912028184862e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200011002210235489e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200011092392285406e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200011182574336033e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200011272756385949e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200011362938436577e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200011453120487204e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200011543302536410e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200011633484587037e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200011723666637664e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200011813848687581e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200011904030738208e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200011994212788125e+01,1.199999999999999858e+02,0.000000000000000000e+00
