accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
3.774473880638000867e-03,-4.283229418257728308e-03,-9.796846895499358610e+00
8.501445336803421793e-03,-3.978477347446370514e-03,-9.791223571461868502e+00
-2.231665901869015964e-03,4.567061055764649706e-03,-9.790769849864023655e+00
8.436624830916415740e-04,1.539648511232433788e-03,-9.800473520772076341e+00
3.364655184700374169e-03,-2.800235513849302395e-03,-9.796711246769694625e+00
1.350469597582943391e-03,8.095386376390476283e-04,-9.795731713056504475e+00
-4.469395727205860772e-03,-5.152978916406137505e-03,-9.798465029882537536e+00
1.681153816902916090e-03,-2.431775833844249026e-03,-9.796344476273052493e+00
-3.712367643950033325e-03,2.297787493472660657e-03,-9.791310476527693041e+00
5.644681170432640140e-04,-1.087431626581468382e-03,-9.797022128379328620e+00
-5.723335119450584591e-04,-1.988201463847603760e-03,-9.789907655870740300e+00
-1.786380522231580852e-03,1.720043258547059375e-02,-9.794612426516675185e+00
-1.703817502675446238e-03,3.180484564921383893e-03,-9.785840811266542261e+00
1.817833181709147764e-03,1.545126225801501810e-03,-9.797575409464130303e+00
6.947513301287804380e-03,1.991237884495049987e-03,-9.805619199678650588e+00
4.917432373575444243e-03,-5.354576022681748620e-03,-9.795674062124387405e+00
-3.135631346022369013e-03,-3.292422354199066054e-03,-9.802892036640802331e+00
-2.297793637167623148e-03,-6.535694763935678483e-03,-9.794350168671524415e+00
1.734537844359713846e-03,9.031178104519477874e-04,-9.797299058184714582e+00
4.925739502048566074e-03,-4.295213333292246215e-03,-9.802558512564619519e+00
-6.881176986649142728e-03,2.419996889710071888e-03,-9.792527845282288368e+00
-3.489479781748668161e-03,-5.851550552094091431e-03,-9.796854006423284744e+00
-1.158500021841932801e-03,4.317356475537399881e-03,-9.803593231357625726e+00
9.572666292981101693e-03,-7.406391051519805148e-04,-9.800116636398984227e+00
6.081729921738935306e-04,-3.767197654991356740e-04,-9.795228044332006334e+00
-1.574432122029469821e-03,2.019320221111638831e-04,-9.793494912237862948e+00
5.641002893019394972e-04,-5.040596153302669439e-04,-9.790700239448632658e+00
-7.663724746423844839e-03,2.707948943721177979e-03,-9.797600269984725330e+00
5.022125244232339761e-03,-1.609178979410110747e-04,-9.793386561137770840e+00
-2.851563527201322196e-03,7.696671033179022228e-04,-9.791055879100362347e+00
-5.089080169453064593e-03,2.902366624876336846e-04,-9.792811381194669096e+00
-1.276299769118393115e-02,5.294881174619816416e-03,-9.795078325404135811e+00
-4.596689173193660959e-03,1.386361521704470928e-04,-9.797840434325172154e+00
-4.080809742315926955e-03,7.190422155406254838e-03,-9.792187610819626187e+00
-5.354665851524794892e-03,-3.477099682536173401e-03,-9.788470384826515769e+00
-2.576692912396200477e-03,-1.089892215593238432e-03,-9.795925049141217755e+00
8.321335126701187969e-04,-2.578060185016202953e-03,-9.798790457041439694e+00
6.825847186207107363e-03,-2.369720880539594003e-03,-9.790712327687254302e+00
-7.147998885543042566e-03,7.121384116375327478e-03,-9.798640920090026185e+00
-8.156636926970996584e-03,7.456126733787801775e-03,-9.797896911078357363e+00
-5.504232367834102982e-03,-5.001848762587962974e-03,-9.797581343382082864e+00
-4.750148707561300176e-04,-6.172574615156485763e-03,-9.800662057680716188e+00
4.894655570450149283e-03,6.244151584332205754e-03,-9.793833300349387372e+00
-4.259994218734152962e-05,1.705652521258550856e-03,-9.792399644826632610e+00
-3.803945592430276260e-03,-5.178192464683466917e-03,-9.801801300915229831e+00
6.798696856770546776e-03,-1.197302687928026958e-02,-9.786126799579150770e+00
-6.728806941287521388e-03,-7.017623211688842413e-03,-9.793370465448148821e+00
-5.635177212495926999e-03,-2.907273003736888552e-03,-9.789735321290512715e+00
9.932066273474111223e-03,-1.281544640473441772e-03,-9.790738205445030928e+00
3.924044331402405314e-03,-2.194885804170624340e-03,-9.799455016886177816e+00
-6.719275869514568450e-04,9.303732339509117322e-03,-9.793124342025684825e+00
-1.200498041678305485e-03,-4.496968100122661523e-03,-9.793436825823279790e+00
6.145699549267610688e-04,-1.088662361098389044e-03,-9.791402482822945785e+00
-3.034524854628267276e-03,7.318100592094031048e-03,-9.798956287331828108e+00
4.901356091920063517e-04,-6.094677345983099542e-03,-9.798297584149777251e+00
5.214346070238223135e-03,6.392716138621360594e-03,-9.790093449869218034e+00
-5.582365922142775057e-03,-5.440949540990736846e-04,-9.784481763650106245e+00
4.454324697732028361e-03,-4.937599915643561821e-03,-9.792007061363745990e+00
7.190327670065227959e-03,-1.802411487431145650e-03,-9.796028879667701972e+00
-4.552559171066676742e-03,-6.601080780500036618e-03,-9.805350933375549971e+00
-4.904494655987637168e-03,3.637359994302471686e-03,-9.799888341601738162e+00
1.906955125785021396e-03,8.387022158530241939e-03,-9.793978490772266454e+00
3.591134533497839578e-05,4.795462986803889806e-04,-9.799577687795849812e+00
-1.337556544087572900e-03,5.632747298807701253e-03,-9.788458902528896388e+00
-1.156620715703372403e-04,-5.213404149360724785e-03,-9.783029250876621674e+00
-6.171959663153299338e-05,-4.124557838365637379e-03,-9.792683820276950613e+00
2.952777155577077876e-03,1.091324787053736707e-03,-9.794667950462136119e+00
-1.884769547949266370e-03,-8.104438296998953475e-03,-9.799801820194952384e+00
6.774424906073509868e-03,6.274411949605477289e-03,-9.797557735174859062e+00
-4.295263467371566481e-03,2.508969311848215002e-03,-9.800389639480833637e+00
-2.634077770403924108e-03,-2.094042974056918409e-03,-9.789683269262319243e+00
-2.588736058625198348e-03,4.481748105300994295e-03,-9.792942540900357429e+00
5.709524211762400693e-03,-5.578981258718694256e-03,-9.791501078607726782e+00
6.320236068214731733e-04,-4.760354918775181431e-03,-9.805574344067823134e+00
-1.727890508224460067e-03,6.219313012221303581e-03,-9.802168266467106150e+00
6.231573019472078263e-03,-7.355107919665068543e-03,-9.801430412604476672e+00
6.320130286598761842e-04,9.133117736092608366e-03,-9.783996221419647199e+00
-3.534178553829843330e-03,4.469034981529681518e-03,-9.798614689466793592e+00
3.097606321195117522e-03,4.199757450035714566e-03,-9.790896656179141289e+00
-9.216691996988140049e-05,-2.591458590420447385e-03,-9.796189690639414138e+00
-5.181967129035266843e-03,-6.439264452038782373e-03,-9.791492445701445391e+00
9.085135896612804227e-03,-5.728669470823528204e-03,-9.792974785886313427e+00
6.733815561213864209e-03,-4.239069572202934164e-03,-9.790569223392108000e+00
-1.474894502588791362e-03,1.063416294878835947e-03,-9.791696989048663369e+00
-6.674594317430399514e-03,-2.800069604129305258e-03,-9.792412587212886876e+00
6.715052278986594243e-03,8.383410579149224232e-03,-9.796541383233337896e+00
2.391766140960725328e-03,-3.225953753486135618e-03,-9.792316470751320168e+00
-6.516020527274723854e-03,9.965425690502956006e-04,-9.803562133980095794e+00
-6.433750680556002410e-03,-6.072384104576778775e-03,-9.796647315196018724e+00
7.241074171980587011e-03,-1.879031625522043641e-03,-9.794379373659936050e+00
-4.856040201436480179e-03,-2.232345714943413228e-03,-9.794769704676685507e+00
-1.103010818687453695e-02,-4.908879609065997830e-03,-9.797572116530332664e+00
3.152332888884060852e-03,6.830848055192220193e-03,-9.792100663162832674e+00
-5.899686634234946152e-03,1.096192792997016533e-03,-9.798426225119223787e+00
9.346425589317159527e-03,-9.834651664866970316e-04,-9.792319202779035336e+00
-2.592068614160740383e-03,6.703430435863398076e-05,-9.800094634851211239e+00
-1.329054829494743053e-04,-6.230124976694231863e-04,-9.792828633948971628e+00
6.905532884081048636e-03,1.004593963413837575e-02,-9.790340183821690800e+00
3.951873712492641119e-03,-4.832946255141592172e-03,-9.795298551544032506e+00
7.297194542260161156e-03,-4.151661262787669296e-03,-9.780995944648518403e+00
-1.271682422792192856e-03,1.070088889405754629e-03,-9.794180892318012255e+00
-1.046843298621040214e-03,-7.321021323130847205e-03,-9.800243134142316848e+00
3.328752108118812007e-03,-1.882956577581429815e-03,-9.791315714283291172e+00
-2.104090750416860028e-03,2.253521034287951468e-03,-9.792741922728636084e+00
-6.588315636817568266e-03,5.740805618218236886e-03,-9.800140285765186476e+00
-2.648599824529440996e-03,2.035630996512590406e-03,-9.798272258407841662e+00
1.630005644211809240e-03,2.042609033901568536e-03,-9.784950625357229370e+00
-4.033155248949905902e-03,1.855388469265334189e-03,-9.795403545842544801e+00
-1.981697116727562224e-03,-5.376175119676607564e-05,-9.796812576635995029e+00
2.736514082701365074e-03,7.301937186054640108e-03,-9.796462441582105996e+00
5.506575670319340497e-03,1.078584528186144289e-04,-9.799520264431881955e+00
-2.357954535337168037e-03,-4.092245335223348643e-03,-9.795230394853277289e+00
3.698609097902164024e-05,-3.053388652051371426e-03,-9.788582404949847771e+00
-6.235828393017352287e-04,-1.081446350580506912e-03,-9.788223362179829579e+00
5.556118308479871502e-03,-2.461259329370986144e-03,-9.805200594849557305e+00
7.820555884056154539e-03,-1.348734012476124171e-03,-9.799989115961649233e+00
-4.668256423011669064e-03,3.363069000404924572e-03,-9.793344921247406631e+00
2.380686792225303067e-03,-2.912604508645868107e-03,-9.795078993715996774e+00
-6.179619383396031630e-04,-2.615070217338535778e-03,-9.799626511714299326e+00
-4.206864433314208942e-05,-6.780883522221910382e-03,-9.788280276230501897e+00
3.647163644523824209e-03,7.104379861709251556e-04,-9.800817396235538936e+00
4.007154638954487161e-03,3.327484836449541052e-03,-9.795961305885235504e+00
-7.528413585286991908e-03,-2.907477581211167193e-03,-9.796046068114209859e+00
2.667601627762826010e-03,-1.320565905362935943e-02,-9.798159088445734355e+00
-2.909451080237483288e-03,4.387377638696810314e-03,-9.799240756357777471e+00
-1.797341811944678201e-03,2.094799970314112098e-03,-9.799573487478069111e+00
1.962925598427267722e-03,3.811663362733832845e-03,-9.789649915265295377e+00
-2.069486215532509530e-03,-4.687856457046796904e-03,-9.791717273533349086e+00
7.762993681791281785e-04,-1.391517817379568124e-02,-9.792621271871208677e+00
-2.624512830424542351e-03,-4.200234839847488168e-03,-9.798917330789329583e+00
-1.089920380954001282e-03,9.218144830655507433e-04,-9.789598288344368626e+00
1.063050024917510175e-02,1.824023561730020275e-03,-9.799505804270317810e+00
5.134976330958278441e-03,-4.926872152620581646e-03,-9.797705296400032182e+00
-8.347991330637382842e-03,-8.756230979554208843e-03,-9.795842442890934976e+00
