gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.199991368208267417e+01,1.200000301398526403e+02,1.718008020498470678e+00,1.880204532446303270e-02,3.828562695185019991e-03,3.394739988382943635e-02
3.199996151041159109e+01,1.200000291573809221e+02,8.644893376883615588e+00,4.512819955526892191e-02,6.014696159580201762e-02,-2.344497552840373381e-02
3.199999397314318372e+01,1.199999221395300850e+02,1.321303839195455510e+01,-9.584944287551369624e-02,-2.418844458957077059e-02,-9.171471301003886190e-02
3.200008749734319480e+01,1.200000346543173748e+02,6.218168215455461834e-01,-8.196346582661734326e-02,-1.631433195200454947e-02,8.712978136616632285e-02
3.199989385823698029e+01,1.199999594416578788e+02,6.346265926476020169e+00,-1.126342374016728494e-02,-8.782929283188393998e-02,-1.387362232241342447e-02
3.200005801055962706e+01,1.199999799160698046e+02,3.373205522314604021e+00,5.019542730236740274e-02,2.581348953836814022e-02,-2.947323731929385460e-02
3.200008890189994304e+01,1.200000580556186378e+02,4.192175229643627432e+00,5.279767249795602746e-02,6.654499563554110153e-02,1.573605465376562776e-02
3.200002486521071887e+01,1.199999208204365004e+02,-3.009664534156546445e+00,-1.474414876130856200e-01,-4.004374375356876264e-02,-4.433291908190221259e-02
3.200004709507651057e+01,1.200000850899855180e+02,6.290685638782988143e+00,1.195883002693028940e-01,-5.536122078617435049e-02,4.424702175670313341e-03
3.200000214034436397e+01,1.199999292210215742e+02,4.481264548297630768e+00,5.774016689904858807e-02,-6.255736534514032277e-02,1.978678931302835231e-02
3.200002165737014082e+01,1.200000171641101616e+02,4.345687802014132073e-01,3.909572741575451094e-02,-6.968184547685112029e-02,2.878006655514049605e-02
3.199998860990654137e+01,1.200000916424197754e+02,-4.799486178007045245e-01,-5.315656973960314509e-03,-4.552144192592910699e-02,1.291286422777790932e-01
3.200000322428974187e+01,1.199999814307656720e+02,-9.122839119105549122e-01,5.288131855780911494e-02,1.323649798190124072e-02,-3.011883186629221373e-02
3.200000130157886957e+01,1.200000071403135280e+02,-1.041394674595429848e+01,-4.422967217904291010e-02,1.388585280345165998e-02,-3.302177840621669386e-02
3.200004171346635218e+01,1.200000623564501154e+02,4.373664391093720627e-01,-2.978573809210136730e-02,6.663241392527388673e-02,-1.427225710034290065e-02
3.199999926389160976e+01,1.200000076507222673e+02,8.167657742292401934e+00,8.404250717731062345e-03,-9.089022283466043073e-02,1.996347593414226490e-02
3.200008120715408211e+01,1.200000948332167070e+02,-3.875267256851694153e+00,6.438279288460931234e-03,-1.605778059636953775e-02,-2.884819347010049006e-04
3.199992433551844329e+01,1.199999829475970330e+02,2.119902578504488488e+00,4.862782701939668412e-02,1.266674509056653700e-02,2.949381014806463919e-02
3.200008268576416270e+01,1.199999436722736590e+02,-4.717556186549069608e+00,4.807114405773085797e-02,-3.812925075357231908e-02,-7.240798387836051841e-02
3.199997986461970001e+01,1.200001259147891091e+02,2.507295367146117115e+00,-6.576092452571506708e-02,-2.349832215341333963e-02,-7.229037202776746052e-02
3.200004955671236928e+01,1.200000435636085996e+02,-1.141636291439918072e+00,-4.252243864398037865e-02,1.714028853131113056e-02,4.736881663203618142e-02
3.199989938669012091e+01,1.199999701453324406e+02,-8.317281043228572202e+00,-2.975477847128104453e-03,5.074679890728296672e-02,-5.706790918821445097e-02
3.199999470564445403e+01,1.199999749705477825e+02,7.480330976226756690e-01,-5.656744129195061949e-02,1.032727866638943198e-02,-2.163975198020431923e-02
3.199997029281440319e+01,1.199999004629020476e+02,3.606869639289790985e+00,3.169416411633765168e-02,7.521259223104470593e-02,-5.236648629974796632e-02
3.199999551160446032e+01,1.200000657534083643e+02,1.048401566959771269e+00,2.303234379241667074e-02,-2.069806749710465660e-02,2.504825327910685864e-02
3.200003300794691796e+01,1.199999344531580334e+02,1.242304418922194342e+00,-1.922306564162645781e-02,7.563578673391647966e-02,2.102139737339091263e-02
3.200001421169996974e+01,1.200000285533379696e+02,9.324192611154817456e+00,8.133317166931219866e-02,-4.187889125361516501e-02,-1.029806321952710102e-01
3.199995525862661339e+01,1.200000211468040163e+02,2.950359864812515998e+00,8.242352341245051672e-02,8.646419143042216593e-02,3.030843192761413507e-02
3.199997911923082583e+01,1.199999484726793213e+02,3.299144672220378549e+00,-2.732278982904528045e-02,-6.666517376917456550e-02,-1.090063615488845623e-02
3.199995496248163818e+01,1.200000778107511650e+02,2.402274516434104612e+00,3.813736305559838752e-02,-6.093872252204737827e-02,5.389274341715343843e-03
3.199990953255650084e+01,1.199999420857431858e+02,-1.240835980793922322e-01,-4.931102377054882857e-02,2.441210572788047803e-02,5.375549278844970330e-02
3.199998918858782204e+01,1.200000268573402309e+02,-1.884008509937910247e+00,5.274303395849125331e-02,5.679012978434211378e-02,2.505441779749389627e-02
3.200005699452411534e+01,1.199999922359123872e+02,3.496371459937148707e+00,6.100325245790189088e-02,1.251503745337354812e-01,-3.335398721364226521e-02
3.200001782772520897e+01,1.200001232811283103e+02,3.142321658113592875e+00,9.362268902855547248e-02,3.478722860832585834e-03,4.256711536591693129e-02
3.200002122025271234e+01,1.200000034399448339e+02,5.663654476902157953e+00,4.552314707004125743e-02,1.385683050401397692e-02,-5.701828175587413811e-02
3.200000848361948158e+01,1.200000076748742259e+02,-1.482288479229753797e+01,-2.812868926431766337e-02,-8.149525121760011273e-03,-2.996325672754022312e-02
3.199996618754815714e+01,1.200000323404600522e+02,-7.749004802967135674e+00,2.953139107544154596e-02,-7.453601635286684346e-02,2.566886502730336347e-02
3.199994001121583764e+01,1.200000015262881021e+02,5.439151579544023285e+00,9.043077500217298892e-02,7.806042923633485509e-02,3.748454986069564565e-02
3.199995497706021297e+01,1.200000494224604068e+02,-3.420235859892993169e+00,-1.425257614427700818e-02,-5.957000209086363296e-02,5.743731238593943744e-02
3.200001199370334604e+01,1.200000209404241360e+02,6.321005530131889927e+00,3.358709327753444523e-02,5.019645261159280669e-02,-3.792139060345799811e-02
3.199998880770029430e+01,1.200000551337917187e+02,3.538905340783864428e+00,-4.698092615863533328e-02,3.514296632071729765e-02,6.504438945546842619e-03
3.200005381275973804e+01,1.200000951015923505e+02,1.636633681058975753e+01,-7.767249123228249508e-02,-8.753854900399600514e-02,-9.786719933687937009e-03
3.199996674741320035e+01,1.200000310868851301e+02,-3.430339238764241294e+00,-6.815386720309106472e-02,5.964924330266736796e-02,3.789738660975045664e-02
3.200000887251678705e+01,1.199999406811567582e+02,-3.457976049384278827e+00,4.078713602596860388e-02,-1.274144222032037692e-02,5.376118531549220481e-02
3.199997755657755150e+01,1.200000402205369312e+02,1.311767404279909677e+00,-1.528683378113107096e-03,-6.661659256536102587e-03,4.073946073387013644e-02
3.199996521602892940e+01,1.199999862326897500e+02,-8.086135373816622618e+00,1.492694030590848743e-02,-2.000876473383077225e-02,4.304383656887859899e-02
3.200006002758774315e+01,1.200000654021235817e+02,-1.248811186347287494e+00,1.951575627867703847e-02,6.570872385314197386e-03,-1.220744698902684472e-01
3.199998386353724555e+01,1.199999655562837830e+02,-7.043010645522699065e+00,-3.482928478406582817e-02,-9.550667826790226744e-02,1.559774758483779313e-02
3.199997973880032376e+01,1.200000004628832357e+02,2.630801771035629955e+00,-6.624921329468888564e-03,1.319394191646025387e-02,3.921432878998306476e-02
3.200008180701891547e+01,1.199999425203063481e+02,-9.182592763844084072e-01,3.926717819345480059e-02,-2.097594778600564425e-02,-1.842389494028099511e-02
3.200002717561700649e+01,1.199998277860979954e+02,-2.939915605980606639e+00,7.023902701985716701e-02,-5.276636126246175840e-02,-1.516607543990147224e-02
3.199998581173413470e+01,1.199999872100209757e+02,-8.212164516381367463e+00,4.268859966491004437e-02,-1.504218246316401178e-02,-5.455339407860200496e-02
3.200001520684012490e+01,1.199999835255927678e+02,-2.605522934484035602e+00,3.344259016846767157e-02,2.899625283041389057e-02,-2.345170721880914314e-02
3.199999255687441391e+01,1.199999754244348935e+02,1.309693229255364777e+01,-5.290735786590865936e-02,4.397215687316613497e-02,-3.212592396856564503e-02
3.199999811261965021e+01,1.200000356746146508e+02,-2.421752674643728565e+00,1.147168454225501871e-01,-3.711578421810933504e-02,1.204462104825171354e-01
3.199994598009221036e+01,1.199999449300102867e+02,-5.414751385453572929e+00,7.276298890772717361e-03,-1.884610671779594904e-02,2.025353307004836359e-02
3.199998585698805442e+01,1.199999687547022802e+02,-6.002440627951988183e+00,-2.230207452305498720e-03,-1.407883824694992903e-02,-4.789542735061155798e-02
3.200005495188637639e+01,1.199999212770906780e+02,6.409257581806137694e+00,8.103399210321729496e-02,-2.015761773921396615e-03,3.156461134208136954e-02
3.199996469560826640e+01,1.200000002787402877e+02,1.273481592640223758e-01,1.026263646834940646e-01,2.711251121021987162e-02,2.482208125503482590e-02
3.200008262654016278e+01,1.199999669260722186e+02,1.657541915626969953e+00,1.473101295671303546e-01,-6.700751886648545486e-02,2.777014271688690514e-02
3.200003627574152176e+01,1.200000427620200441e+02,5.333752334604024981e+00,-5.189086986375267968e-02,-6.459849572868615886e-02,-1.835242142384736113e-03
3.199999330293085364e+01,1.200000309099657159e+02,3.149557792860235406e+00,6.132073017191167624e-02,-6.197519190891200014e-02,1.183126591648955318e-02
3.199993267414718900e+01,1.200000408551791367e+02,4.050613732979037707e+00,-2.635720439089073164e-02,-1.809272263105130354e-02,-1.175371335268139694e-02
3.199998740667740549e+01,1.199999393367550766e+02,3.359458768973420550e+00,-1.039081104375187969e-01,-4.288200666582966947e-02,-2.001346732671154330e-02
3.200002063699970023e+01,1.200000332439425392e+02,-7.468170336597133918e+00,-8.150809849620981040e-02,2.683105119857884246e-02,2.083542677092780487e-02
3.199999316398923810e+01,1.200000211466416289e+02,-1.061591847153464663e+01,-2.542616313447277482e-02,3.800827472783195604e-02,-1.886238714972426553e-02
3.200006897613475587e+01,1.200000578158598756e+02,-1.464783476111468019e+01,-5.127868166271853240e-02,-2.927103596897721177e-02,3.569340268105587050e-02
3.200004946430922104e+01,1.200000219545960363e+02,-1.344641919033090272e+00,-2.270722867364712017e-02,-5.266708749755249358e-02,-1.578799851729263334e-02
3.199994051715552956e+01,1.199999703098867911e+02,-6.549847654560782217e+00,-7.366800851850534293e-02,3.245078688359635116e-02,-2.843671389923128900e-02
