gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
6.071515869673783927e-03,-2.646348046292092485e-02,9.510989674460201826e-01
2.061919302428631001e-02,-7.329886654114341335e-04,1.746006828013361600e+00
-1.637512764195215090e-02,1.792856156260243250e-02,2.461998827454947136e+00
5.163521288097951134e-02,-3.744698281655135103e-02,2.986381209138217585e+00
1.875621268853515725e-02,-2.130456766494693427e-03,3.696158880941835534e+00
6.346654673550103376e-02,-6.091790124836508023e-03,4.275698261116080090e+00
-1.317755368000117326e-02,7.747379554018916925e-02,4.684166218482731736e+00
-7.250271699155810042e-04,2.937172283788293606e-02,5.118090839178752738e+00
3.688954863422512498e-02,1.157239222372154121e-03,5.481969386508100506e+00
8.267403406716722358e-02,1.905348126754971170e-03,5.835772160387957541e+00
1.900054387528893936e-03,2.608593826558370122e-03,6.181590428274214233e+00
-3.569485696139038794e-02,-6.891773731797364022e-02,6.435737364966107599e+00
2.600999372809650531e-02,5.890291579349379164e-02,6.686308210008515829e+00
-4.559606149773881567e-02,-8.265864288214512523e-03,6.811457166706738064e+00
-1.084043274066844725e-02,-1.860932670524517371e-02,7.146448891888518062e+00
-1.316277994562378229e-03,7.896452596251810063e-03,7.276402694735195631e+00
6.280256389344018864e-02,-1.242884993019858532e-02,7.479335093715153704e+00
-3.621507829660603611e-02,8.286080614199822433e-03,7.638100941248470832e+00
-4.073489747202947708e-02,-1.955561371554432794e-07,7.839230295860235564e+00
1.453851667731458942e-02,5.143636670405670602e-02,7.835130703634995974e+00
4.208518405646270027e-02,7.387441737475991532e-04,7.956354736321904042e+00
-1.389156830722923681e-02,-9.606747386078312231e-03,8.014772015211118372e+00
1.009230920204602783e-01,1.100341872489477707e-03,8.236396597246804063e+00
3.712171616468649266e-02,1.017850067040474392e-02,8.290475999635518178e+00
-2.464670692735815988e-02,-2.683815877863782867e-02,8.322441891369798839e+00
3.918027914781803400e-02,-7.340312825362244054e-02,8.413409328510521590e+00
-2.189463489362428877e-02,6.478161733352696960e-02,8.475347209723283370e+00
6.232483688615835654e-02,-2.380095109368911624e-02,8.495424902020925373e+00
-1.412445108299791377e-02,-5.959838952264541467e-02,8.624277059219428665e+00
6.151411629206309656e-02,-5.163608214241487832e-02,8.573483994361978944e+00
4.945064668856694046e-02,-2.805193278139273688e-02,8.569819057466741441e+00
1.523654380786413666e-02,-2.619973106162071588e-03,8.750491394262711609e+00
9.595318613089744153e-03,-3.684834758467941951e-02,8.664809894430257842e+00
-6.001025742295142996e-03,1.015382620102284368e-02,8.724934036309527130e+00
-2.607679424426538953e-03,-1.358675201980511296e-02,8.721135694817023776e+00
-1.808857754372439688e-02,2.564905373306387154e-02,8.861497457297106806e+00
-1.792309253774361164e-02,-4.736633080077344571e-03,8.878466567546620780e+00
-9.133802686310553420e-03,-1.781997945694427030e-02,8.885056069685507651e+00
7.277063221702171660e-03,-4.333519258994689843e-02,8.824882817835353777e+00
3.978028612482472498e-02,-3.192862305105084730e-03,8.812213634155481756e+00
1.603983008474869215e-02,-7.335355359042116351e-03,8.874388136358936308e+00
1.594918243978501668e-02,-7.338477691628594174e-03,8.857815260916119371e+00
1.883281873684027399e-02,1.999298451124522768e-03,8.859739354600053574e+00
