mag_x (uT),mag_y (uT),mag_z (uT)
3.251654820475112473e+01,-3.607031962788858959e+00,3.769868910515614857e+01
3.251190768594862135e+01,-3.601083831932359480e+00,3.771414122788378620e+01
3.252727485593354828e+01,-3.622459030356249166e+00,3.771111388435056000e+01
3.252130873315790893e+01,-3.628886474154315867e+00,3.770955600521809714e+01
3.249884743142052912e+01,-3.654518222627203272e+00,3.770962043784845008e+01
3.251509286683399580e+01,-3.673776982638222055e+00,3.769639487836302294e+01
3.252647050397822426e+01,-3.696451333940637962e+00,3.770366206439275913e+01
3.249746515599575503e+01,-3.736640925267638469e+00,3.772638243632276556e+01
3.250883471363811594e+01,-3.749932398639020281e+00,3.768881474519195507e+01
3.249491407811262178e+01,-3.765856331485786690e+00,3.771917740692808252e+01
3.250622454629626645e+01,-3.830088965318302119e+00,3.771865050507844330e+01
3.249322631918096960e+01,-3.881447724492589124e+00,3.769266622762957297e+01
3.249891493232140505e+01,-3.896571186546623711e+00,3.770036126581880609e+01
3.249799594868961350e+01,-3.922085053658066034e+00,3.770722341261604527e+01
3.248700290348800479e+01,-3.961286621600681901e+00,3.770969958547787115e+01
3.247457327747080313e+01,-4.013080097789276657e+00,3.770567224284483387e+01
3.245529591294132388e+01,-4.041102138429611301e+00,3.771461127785840262e+01
3.248443513473666400e+01,-4.106287303537259348e+00,3.771259795799790737e+01
3.245230948787267522e+01,-4.121378126283922860e+00,3.769714672858242466e+01
3.245516480107074386e+01,-4.166463511139945730e+00,3.768433786371550553e+01
3.245857322894237740e+01,-4.234440745269176354e+00,3.770803804117194602e+01
3.245808176619628682e+01,-4.278002420765624869e+00,3.769868729789464368e+01
3.243921274342872607e+01,-4.316576321529109528e+00,3.768357755324143454e+01
3.243469651721459002e+01,-4.355713233708472742e+00,3.770728505654774665e+01
3.241396309960066446e+01,-4.412873825468238032e+00,3.771091223335571385e+01
3.239955484623896353e+01,-4.457247397173255798e+00,3.771276925882327191e+01
3.240527360795869782e+01,-4.516456979021719498e+00,3.769719051297731482e+01
3.239607339910031669e+01,-4.556894473627316700e+00,3.770063373773464832e+01
3.239072779005176983e+01,-4.607912645918583294e+00,3.770651615410373125e+01
3.239980955397043516e+01,-4.654262947038048992e+00,3.769447451011755845e+01
3.239447176081549884e+01,-4.701785414029558297e+00,3.770402319829419469e+01
3.236536511363497226e+01,-4.750061074430163899e+00,3.769663595502086650e+01
3.237147978727051623e+01,-4.805832383768966487e+00,3.769972975884762434e+01
