ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
3.543207813446885412e-03,0.000000000000000000e+00,8.977859580299312192e-01
3.543207769734311053e-03,-5.565657795545493484e-07,1.707785958029931050e+00
3.543207445824141967e-03,-1.614040711524492228e-06,2.436785958029930921e+00
3.543206437720465476e-03,-3.122333632036712288e-06,3.092885958029930826e+00
3.543204234069526667e-03,-5.036362063975004267e-06,3.683375958029930786e+00
3.543200261343299254e-03,-7.315551095591323063e-06,4.214816958029930838e+00
3.543193917322782008e-03,-9.923382381999915696e-06,4.693113858029930974e+00
3.543184595479448307e-03,-1.282698827461126450e-05,5.123581068029930741e+00
3.543171702315652156e-03,-1.599678657304037826e-05,5.511001557029930886e+00
3.543154669294282504e-03,-1.940615183851381845e-05,5.859679997129930484e+00
3.543132960643806742e-03,-2.303111961045183978e-05,6.173490593219930211e+00
3.543106078049962186e-03,-2.685012023197578198e-05,6.455920129700929877e+00
3.543073563026301245e-03,-3.084373931881716793e-05,6.710106712533829842e+00
3.543034997581402928e-03,-3.499450220259829098e-05,6.938874637083440433e+00
3.542990003662137202e-03,-3.928667994666014971e-05,7.144765769178088810e+00
3.542938241742647418e-03,-4.370611477328206280e-05,7.330067788063273859e+00
3.542879408842034526e-03,-4.824006295780899542e-05,7.496839605059939515e+00
3.542813236185409897e-03,-5.287705344020899299e-05,7.646934240356938695e+00
3.542739486669395366e-03,-5.760676058005285418e-05,7.782019412124237867e+00
3.542657952251182692e-03,-6.241988963877410685e-05,7.903596066714807300e+00
3.542568451347668720e-03,-6.730807371508408564e-05,8.013015055846318901e+00
3.542470826305913270e-03,-7.226378098716837808e-05,8.111492146064680497e+00
3.542364940986750428e-03,-7.728023123020755355e-05,8.200121527261206467e+00
3.542250678488626219e-03,-8.235132068113691650e-05,8.279887970338078773e+00
3.542127939027497202e-03,-8.747155441554896869e-05,8.351677769107263671e+00
3.541996637980367266e-03,-9.263598548529190552e-05,8.416288587999529724e+00
3.541856704093875128e-03,-9.784016014057076501e-05,8.474438325002571659e+00
3.541708077854993468e-03,-1.030800685280577222e-04,8.526773088305306558e+00
3.541550710017839308e-03,-1.083521003174271985e-04,8.573874375277767967e+00
3.541384560278547367e-03,-1.136530047635321973e-04,8.616265533552985190e+00
3.541209596088908292e-03,-1.189798547607447284e-04,8.654417576000680512e+00
3.541025791598797524e-03,-1.243300144903497538e-04,8.688754414203605947e+00
3.540833126717147800e-03,-1.297011103018031700e-04,8.719657568586239194e+00
3.540631586281324083e-03,-1.350910045045869141e-04,8.747470407530608227e+00
3.540421159324973980e-03,-1.404977717797220604e-04,8.772501962580539825e+00
3.540201838434963149e-03,-1.459196779490899026e-04,8.795030362125480394e+00
3.539973619188428039e-03,-1.513551608668919544e-04,8.815305921715925308e+00
3.539736499661661363e-03,-1.568028132211390230e-04,8.833553925347324309e+00
3.539490480003123791e-03,-1.622613670542635540e-04,8.849977128615586608e+00
3.539235562063485982e-03,-1.677296798310315906e-04,8.864758011557020367e+00
3.538971749076279434e-03,-1.732067218991057008e-04,8.878060806204311817e+00
3.538699045383251595e-03,-1.786915652030664789e-04,8.890033321386873411e+00
3.538417456199135624e-03,-1.841833731266131655e-04,8.900808585051178667e+00
3.538126987411067351e-03,-1.896813913501830292e-04,8.910506322349053931e+00
3.537827645408354264e-03,-1.951849396225011372e-04,8.919234285917141847e+00
3.537519436938767539e-03,-2.006934043547121190e-04,8.927089453128422392e+00
3.537202368987958818e-03,-2.062062319548774083e-04,8.934159103618572573e+00
3.536876448678957698e-03,-2.117229228288361508e-04,8.940521789059708624e+00
3.536541683189065900e-03,-2.172430259808249067e-04,8.946248205956731425e+00
