ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
3.251984847285080349e+01,-3.609271155169545331e+00,3.770211419708795120e+01
3.251928112866828968e+01,-3.614379316473848469e+00,3.770211419708795120e+01
3.251820096417317529e+01,-3.624084577153554143e+00,3.770211419708795120e+01
3.251665529657513787e+01,-3.637926784918527723e+00,3.770211419708795120e+01
3.251468535567082796e+01,-3.655491648252086279e+00,3.770211419708795120e+01
3.251232720900716799e+01,-3.676406183104298897e+00,3.770211419708795120e+01
3.250961252860117412e+01,-3.700334607698742229e+00,3.770211419708795120e+01
3.250656922815293370e+01,-3.726974642255596049e+00,3.770211419708795120e+01
3.250322199425539083e+01,-3.756054174378774757e+00,3.770211419708795120e+01
3.249959273070069088e+01,-3.787328254495821778e+00,3.770211419708795120e+01
3.249570093141379346e+01,-3.820576389084294533e+00,3.770211419708795120e+01
3.249156399465056211e+01,-3.855600102479874280e+00,3.770211419708795120e+01
3.248719748875195279e+01,-3.892220740855338867e+00,3.770211419708795120e+01
3.248261537784353692e+01,-3.930277494503174651e+00,3.770211419708795120e+01
3.247783021432676520e+01,-3.969625616866011786e+00,3.770211419708795120e+01
3.247285330375623857e+01,-4.010134820856168680e+00,3.770211419708795120e+01
3.246769484668092076e+01,-4.051687834905939312e+00,3.770211419708795120e+01
3.246236406120181073e+01,-4.094179102910460166e+00,3.770211419708795120e+01
3.245686928932754967e+01,-4.137513613780837929e+00,3.770211419708795120e+01
3.245121808966396770e+01,-4.181605847731434622e+00,3.770211419708795120e+01
3.244541731852933708e+01,-4.226378827695390861e+00,3.770211419708795120e+01
3.243947320122531863e+01,-4.271763265409282084e+00,3.770211419708795120e+01
3.243339139489817313e+01,-4.317696792742721890e+00,3.770211419708795120e+01
3.242717704418408431e+01,-4.364123269782426817e+00,3.770211419708795120e+01
3.242083483063465366e+01,-4.410992162022324692e+00,3.770211419708795120e+01
3.241436901675748317e+01,-4.458257979770552382e+00,3.770211419708795120e+01
3.240778348537369880e+01,-4.505879773568647551e+00,3.770211419708795120e+01
3.240108177488522756e+01,-4.553820680035139290e+00,3.770211419708795120e+01
3.239426711095453015e+01,-4.602047513101621412e+00,3.770211419708795120e+01
3.238734243502497634e+01,-4.650530396110342579e+00,3.770211419708795120e+01
3.238031043004814791e+01,-4.699242430693546524e+00,3.770211419708795120e+01
3.237317354373324463e+01,-4.748159398761345074e+00,3.770211419708795120e+01
3.236593400959024081e+01,-4.797259494291004955e+00,3.770211419708795120e+01
3.235859386600312604e+01,-4.846523081940354416e+00,3.770211419708795120e+01
3.235115497353852021e+01,-4.895932479804949722e+00,3.770211419708795120e+01
3.234361903067006949e+01,-4.945471763906114759e+00,3.770211419708795120e+01
3.233598758807645623e+01,-4.995126592237779661e+00,3.770211419708795120e+01
3.232826206165317018e+01,-5.044884046416876267e+00,3.770211419708795120e+01
3.232044374436151202e+01,-5.094732489177314250e+00,3.770211419708795120e+01
3.231253381702496341e+01,-5.144661436123296738e+00,3.770211419708795120e+01
3.230453335817140470e+01,-5.194661440316043155e+00,3.770211419708795120e+01
3.229644335300883284e+01,-5.244723988410399329e+00,3.770211419708795120e+01
3.228826470161354223e+01,-5.294841407186114068e+00,3.770211419708795120e+01
3.227999822640206418e+01,-5.345006779434008592e+00,3.770211419708795120e+01
3.227164467895055822e+01,-5.395213868261186541e+00,3.770211419708795120e+01
3.226320474621989831e+01,-5.445457048972990322e+00,3.770211419708795120e+01
3.225467905623865050e+01,-5.495731247773639971e+00,3.770211419708795120e+01
3.224606818329166913e+01,-5.546031886603275396e+00,3.770211419708795120e+01
3.223737265265744867e+01,-5.596354833497352743e+00,3.770211419708795120e+01
3.222859294493348159e+01,-5.646696357915772069e+00,3.770211419708795120e+01
3.221972949998548330e+01,-5.697053090544359932e+00,3.770211419708795120e+01
3.221078272055294889e+01,-5.747421987121123621e+00,3.770211419708795120e+01
3.220175297554091998e+01,-5.797800295884425026e+00,3.770211419708795120e+01
3.219264060302486286e+01,-5.848185528280560597e+00,3.770211419708795120e+01
3.218344591299369739e+01,-5.898575432604477697e+00,3.770211419708795120e+01
3.217416918985318830e+01,-5.948967970280016893e+00,3.770211419708795120e+01
3.216481069471085164e+01,-5.999361294515461296e+00,3.770211419708795120e+01
3.215537066746080086e+01,-6.049753731096575216e+00,3.770211419708795120e+01
3.214584932868611844e+01,-6.100143761103165474e+00,3.770211419708795120e+01
3.213624688139428542e+01,-6.150530005356563024e+00,3.770211419708795120e+01
3.212656351260034882e+01,-6.200911210424746578e+00,3.770211419708795120e+01
3.211679939477077994e+01,-6.251286236029121923e+00,3.770211419708795120e+01
3.210695468714022383e+01,-6.301654043712639819e+00,3.770211419708795120e+01
3.209702953691223115e+01,-6.352013686642928647e+00,3.770211419708795120e+01
3.208702408035385645e+01,-6.402364300436806488e+00,3.770211419708795120e+01
3.207693844379349457e+01,-6.452705094903874894e+00,3.770211419708795120e+01
3.206677274453048909e+01,-6.503035346617177304e+00,3.770211419708795120e+01
3.205652709166388092e+01,-6.553354392228076364e+00,3.770211419708795120e+01
3.204620158684777920e+01,-6.603661622450838209e+00,3.770211419708795120e+01
3.203579632497942953e+01,-6.653956476649829810e+00,3.770211419708795120e+01
3.202531139482603351e+01,-6.704238437969005204e+00,3.770211419708795120e+01
3.201474687959581189e+01,-6.754507028949335634e+00,3.770211419708795120e+01
3.200410285745788030e+01,-6.804761807585347988e+00,3.770211419708795120e+01
3.199337940201583308e+01,-6.855002363776743657e+00,3.770211419708795120e+01
3.198257658273884374e+01,-6.905228316135580080e+00,3.770211419708795120e+01
3.197169446535413684e+01,-6.955439309113351953e+00,3.770211419708795120e+01
3.196073311220425950e+01,-7.005635010415957709e+00,3.770211419708795120e+01
3.194969258257223288e+01,-7.055815108677696124e+00,3.770211419708795120e+01
3.193857293297746125e+01,-7.105979311368367135e+00,3.770211419708795120e+01
