accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
9.806229224019774593e-02,-2.754593751836393548e-03,-9.792541244320304372e+00
1.923324006797950403e-01,6.171952195643311094e-03,-9.795080210964458800e+00
2.629687222005449576e-01,-1.063964683387984278e-02,-9.791662524982065463e+00
3.368459729014572357e-01,-1.831251633170431986e-03,-9.794567779983209377e+00
4.098099616214877505e-01,-1.245102907454201510e-03,-9.800224066031562487e+00
4.652933962163682824e-01,3.748326848354679650e-03,-9.791346886777073877e+00
5.203392875855542554e-01,-8.210110096565642265e-03,-9.785246158832123342e+00
5.663254212703621171e-01,-1.310147301307541855e-03,-9.786769429091537020e+00
6.169678229994246532e-01,-1.027464383603129104e-02,-9.786637603789682061e+00
6.431096852046337409e-01,2.512330227711485637e-03,-9.781958319949493941e+00
6.855410256842796590e-01,-7.779025727506745994e-05,-9.789894974748497347e+00
7.080055200364590018e-01,-2.604647363224042722e-03,-9.795209824563583467e+00
7.396325331610055231e-01,-2.773844990837439142e-03,-9.795141189140661453e+00
7.674792752381853767e-01,2.169876397438872014e-03,-9.795210297326358173e+00
7.891614830064292985e-01,-4.460142469417813921e-03,-9.798160306955216114e+00
8.166926218466858955e-01,1.572600118051738043e-04,-9.788364745940794975e+00
8.303406027299699010e-01,2.373186715292397581e-03,-9.796388521969721097e+00
8.519972946054296115e-01,-5.393582870792289902e-03,-9.794072773518559316e+00
8.693121120520516110e-01,-1.005454393430095690e-02,-9.790356795954684443e+00
8.770889956565987022e-01,-3.037186036072307346e-03,-9.791778097771034695e+00
8.915269429859306038e-01,-1.074690210471781343e-02,-9.796413673465051986e+00
9.032325001929821795e-01,-6.637004586472587675e-03,-9.798970981887880072e+00
9.067297735243270429e-01,-5.397985555255230793e-03,-9.801523458922833498e+00
9.214454389230075648e-01,-2.381274685395757575e-03,-9.791832672732878606e+00
9.177933967813551863e-01,-3.310349375048648145e-03,-9.793690669458166909e+00
9.294300185576949147e-01,1.056972282000749261e-02,-9.782765639484075848e+00
9.392593646081205394e-01,-7.187347184833237437e-03,-9.793852108521987176e+00
9.356585847377139054e-01,-3.525326426248910367e-03,-9.786851945152367449e+00
9.611378072053033961e-01,4.318804185830716139e-03,-9.799327183375947214e+00
9.560592526848297190e-01,-3.150133609585404997e-03,-9.799670198781619490e+00
9.648615751356353076e-01,6.134872475089199299e-03,-9.791568392906897955e+00
9.603492937722349909e-01,-6.302623167745112324e-03,-9.794040330652919124e+00
9.698507783620923250e-01,1.286429948966511016e-03,-9.799892851195421528e+00
9.741827959525772851e-01,-4.204603672282609256e-04,-9.797886321669247778e+00
9.814871447972748353e-01,1.808994777550978865e-03,-9.795277630403768754e+00
9.743506496332020594e-01,1.088156536290052793e-03,-9.787538085786781750e+00
9.733857270463767142e-01,-6.463744761254676049e-03,-9.805046700755271516e+00
9.806080243446817502e-01,1.861879102117913829e-03,-9.795253179968785417e+00
9.860755451121876458e-01,-2.912467031240114843e-03,-9.788455155204152547e+00
9.810087398004665449e-01,-5.972988040197945922e-03,-9.796635077825300186e+00
9.851707502953657158e-01,-1.328737135759378366e-02,-9.796473582329543461e+00
9.950546419422677813e-01,-8.499587330108231836e-03,-9.792987872936915750e+00
9.977318967280159878e-01,-2.972833138215982308e-03,-9.787681651454908760e+00
