gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.045005789111880290e+01,1.144699903961402896e+02,5.004511799855559495e+00,2.003390729499523104e+01,3.170140439935586335e-02,5.040335153717598327e-02
3.045004975950287474e+01,1.144700273039783980e+02,-2.571424537437478897e+00,1.994132753347104270e+01,-7.108100195689436018e-02,-6.074457324327808133e-02
3.045005557376172334e+01,1.144700376026137718e+02,1.244190586609722615e+01,2.014622525437134470e+01,2.785699200082304705e-02,-7.114511653859749776e-03
3.045013403682142439e+01,1.144700231365864909e+02,-4.822475878992375620e+00,2.021335141090493082e+01,-4.615640861047561050e-02,6.896622467238930528e-03
3.045004998505667970e+01,1.144700455426425520e+02,-1.804366184890431413e+01,2.038799116779457776e+01,-5.970801896982017021e-02,4.475387641255618165e-02
3.045006165758006844e+01,1.144699763220630189e+02,-1.028750988772787922e+00,2.046011898095753523e+01,7.269289627908993856e-02,-4.854417121970434207e-02
3.045006724401248022e+01,1.144699811875558595e+02,-1.725346715498646377e+00,2.052974758643502540e+01,-3.203513441375654275e-02,4.082449618841159367e-02
3.045025710380972939e+01,1.144700605121671515e+02,-9.429903679524421989e+00,2.061789120621410731e+01,-4.848392036997644511e-02,-3.808455633455701261e-02
3.045012392213530461e+01,1.144700667914038661e+02,1.489405745712289075e+01,2.069935320770414933e+01,6.957613795024137314e-03,-3.211176033949447034e-02
3.045020293193677574e+01,1.144700637446259321e+02,1.933980951082764133e+00,2.075449304349295687e+01,-2.704892109056526023e-02,6.075542441898898471e-02
3.045022472089263843e+01,1.144700196087919153e+02,-1.460156963488250526e+01,2.095230038959697083e+01,2.719707206309332145e-02,9.773341717363422110e-02
3.045026352586217300e+01,1.144699715789428041e+02,5.362789282458161111e+00,2.098855126850163799e+01,2.368358191432555146e-02,3.422865990876499537e-02
3.045026395205139735e+01,1.144699757755894751e+02,-1.832130228655537962e+01,2.117582923047168464e+01,-1.522310985280597197e-02,8.445105074454623082e-04
3.045025425843974531e+01,1.144700633466821671e+02,-2.703819683165492371e+00,2.113940189122705604e+01,8.629752122036310480e-02,1.872328267445542288e-02
3.045018679003750606e+01,1.144699568166147969e+02,4.044497164725495253e+00,2.131127187693856939e+01,-1.254346812985753304e-02,2.716532313615217104e-02
3.045020881858537365e+01,1.144699680509381636e+02,6.296082559431298797e+00,2.146340359370567086e+01,-1.565903902087166163e-02,5.244784108692324143e-02
3.045026311587913170e+01,1.144700001297293710e+02,-3.841351837002770497e-01,2.151648303065891810e+01,5.172670287317140958e-02,1.438805340909853070e-02
3.045034111565830415e+01,1.144700082971788788e+02,-8.345436967513661486e+00,2.159575837469622428e+01,-1.134508928714118674e-02,-2.024020266273581989e-02
3.045035809996115006e+01,1.144699292894725460e+02,-7.402185136505794461e-01,2.169478184529733156e+01,-9.592101036030920014e-02,-2.438531615075595696e-02
3.045036407186919192e+01,1.144700155416614678e+02,5.888448425875513870e+00,2.185293211444553307e+01,-3.805195638678149361e-02,7.407166170932125149e-02
3.045035487931107809e+01,1.144700511084748200e+02,-8.354865562401801782e+00,2.187924076158165576e+01,3.261189375013181374e-02,-3.869372848544805343e-02
3.045043481294707277e+01,1.144700518374434779e+02,1.339459683796737721e+01,2.197047391576665376e+01,3.378057432468350302e-02,-5.612318625742913902e-02
3.045043556457175526e+01,1.144700786905288226e+02,1.338261513577965722e+01,2.218755152134162500e+01,9.043619174978943798e-03,2.243224596660824133e-02
3.045048250792198630e+01,1.144700846283737405e+02,6.158906406096996022e+00,2.216109308704540126e+01,-7.898024891584314033e-02,7.770291803828265585e-03
3.045042932110850131e+01,1.144700237204161937e+02,-3.350586386602940614e+00,2.227333919836486587e+01,5.356806171273647416e-02,-3.755435779787982126e-02
3.045044770363528386e+01,1.144700048301347692e+02,5.960536508351980345e+00,2.241921850020160889e+01,-5.749173547179060742e-04,3.344275446097734472e-02
3.045047699355846049e+01,1.144699403373624733e+02,-5.220237010377161146e-01,2.242969218789509966e+01,-6.050412043967229314e-02,-6.876140648779088815e-03
3.045051673663418512e+01,1.144700358278904702e+02,-3.922617866814208654e+00,2.263122947862541423e+01,-5.520733878964492226e-03,-2.334785028065365295e-02
3.045051659458887272e+01,1.144699562286035928e+02,7.581370196027422459e+00,2.266951353614447484e+01,5.852603926090596542e-02,2.743386444519533163e-03
3.045057811222684307e+01,1.144699928691719464e+02,1.241406309318512768e+01,2.282964171186552704e+01,-1.705235087726937257e-02,4.888215371195036435e-02
3.045068211176612394e+01,1.144700112684906941e+02,5.705710165574698678e+00,2.290442979194570583e+01,7.338672942123883325e-03,-9.590445582192504148e-02
3.045066933849678392e+01,1.144700182006203590e+02,-8.300816295551497248e+00,2.290634736882635636e+01,5.885184852764271946e-02,-4.684672925089346934e-02
3.045060404760755901e+01,1.144700156921200005e+02,4.369169101376253472e+00,2.306607639917131891e+01,-9.225669746864180454e-03,1.436003319579768484e-02
3.045066293350534892e+01,1.144698698032908766e+02,-1.315853546247783168e+00,2.312546779555472298e+01,3.916408365184327611e-02,7.725715773243946316e-02
3.045064857880812426e+01,1.144700045606356582e+02,-5.610682482132795634e+00,2.326149646793461656e+01,-5.651951422834183836e-02,-3.843661424816581518e-02
3.045059312095977688e+01,1.144699034322111544e+02,2.217639460775552962e+00,2.334956162953029590e+01,2.086147962426051355e-02,-2.491486201544182780e-02
3.045064659469044344e+01,1.144700852098733890e+02,1.473461470639422011e+00,2.364125396403796486e+01,-2.724948690738591972e-02,8.217615647360482223e-02
3.045072350309004960e+01,1.144699044506460126e+02,5.964294890604337596e+00,2.363064602578414153e+01,-1.903306009786482483e-02,-1.289645441483467259e-03
3.045069859617700558e+01,1.144700646140333191e+02,-9.477587842266192553e+00,2.363648317035926283e+01,4.831594943490499783e-02,3.726546398756590273e-02
3.045072857653835641e+01,1.144699933479603118e+02,-2.129606807815010772e+00,2.374960882402812601e+01,-7.061733592338208243e-02,-1.110272073031869436e-02
3.045079914962786560e+01,1.144700149375994442e+02,9.371125708472074933e+00,2.387965429149138075e+01,6.468210853336919808e-02,5.553357013295030786e-02
3.045077471056657359e+01,1.144700116938306564e+02,1.220120787679669938e+01,2.407593785791246788e+01,1.127457972756459870e-02,-4.406625864945443172e-02
3.045082820210850016e+01,1.144700578528518378e+02,-7.762937277008465031e+00,2.403282515275424558e+01,-5.110170664642304378e-02,3.788019117706442618e-02
3.045086295387365993e+01,1.144700367384889006e+02,-4.243833482514780542e+00,2.422729946690983738e+01,1.398683150987996282e-02,2.808291686248555463e-02
3.045082283776188348e+01,1.144699366715747146e+02,-1.750955422190562771e+00,2.436860699754711490e+01,-6.413861738634080156e-02,-3.159299077091976687e-02
3.045088094403719836e+01,1.144699243353312568e+02,7.172802840770747146e+00,2.445327936709393768e+01,7.556947429067417676e-02,2.735425274279795413e-02
3.045090397372739233e+01,1.144699552174135420e+02,2.036098166024681078e+00,2.453454425544985895e+01,-5.493590488189697280e-02,9.481567520566522300e-02
3.045092938500556201e+01,1.144699745083553353e+02,1.587032202396872149e+00,2.463642967472273071e+01,2.419478341665738663e-02,3.477420729147156359e-02
3.045087549222404988e+01,1.144699231786840414e+02,4.453296050263105599e+00,2.466660494220603539e+01,2.955891236780898781e-02,-2.641201725500020442e-02
3.045096845047462963e+01,1.144699588434463635e+02,-1.824917873082761322e+00,2.484249602651465949e+01,4.279933936477416795e-02,2.557077276708719094e-02
3.045102612476316040e+01,1.144699331154087787e+02,2.251352543343339452e+00,2.491033740290645326e+01,-4.814383346628017812e-02,-8.017351512396210522e-02
3.045101283942954495e+01,1.144700092762520285e+02,3.135038822651085688e+00,2.512178780327833749e+01,-7.129714138025879111e-02,-3.081706437175413260e-02
3.045101738456124352e+01,1.144700888036320379e+02,5.243473994413568207e+00,2.512802357005213594e+01,6.084100919265493642e-04,2.798342569869578106e-02
3.045117375548866434e+01,1.144699661700425679e+02,-2.527327440323276164e+00,2.514154590827500968e+01,-3.160091994009768535e-02,-5.115150324048137881e-03
3.045108685514554736e+01,1.144700365588566910e+02,8.097415460130820364e+00,2.528341088939141557e+01,-4.185748916593399691e-03,-8.389310142054905162e-02
3.045109767402402667e+01,1.144699345029434596e+02,-5.180474154605183124e+00,2.542100673743344075e+01,-6.021829542798511764e-02,6.942434144393501427e-02
3.045117210212298531e+01,1.144700446890426946e+02,1.312878641978289851e+00,2.551921854506340637e+01,-3.274505053327077253e-02,4.846140165294306190e-02
3.045120113562004605e+01,1.144700930637934988e+02,1.621438092853336288e+00,2.564155507153828495e+01,8.832916985695424272e-02,3.249813939494598791e-02
3.045119492651694770e+01,1.144699509743331731e+02,-1.086677813405376014e+01,2.566494877465120084e+01,-1.938196786867301541e-02,3.648649076813064579e-02
3.045126640583564992e+01,1.144699736456488495e+02,7.314768595808448737e+00,2.581269934769593632e+01,-3.194852009553211108e-02,-5.265871116732589313e-02
3.045121831570319415e+01,1.144700800087728823e+02,-5.709438426920735665e+00,2.578920233668207729e+01,-8.555863186752649119e-02,1.832049464514586695e-02
3.045119685702142931e+01,1.144699744226630429e+02,5.929188036560255171e+00,2.611136074262755713e+01,1.518272544965263982e-01,-2.040742349160778318e-02
3.045132661230254101e+01,1.144699525718915680e+02,-5.239917477619739472e+00,2.606426657484697174e+01,4.061123377497576417e-03,3.740520354825283087e-03
3.045132760022310947e+01,1.144699591738871050e+02,-5.655668656505403735e-01,2.625996435088512726e+01,-5.544333832749526181e-02,7.339111443783677413e-02
3.045126604329309572e+01,1.144699990985985352e+02,6.725314081102205854e+00,2.623203200629740195e+01,-9.771853403370843461e-02,2.895608609705380143e-02
3.045144432750643304e+01,1.144699377662077637e+02,5.210108789384115369e+00,2.647615666651712019e+01,1.179934902091689664e-01,3.871088407803127684e-02
