gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
1.055614915689529441e-02,7.917915491944489681e-02,-1.879928900057909261e-02
-1.000383564668007735e-01,3.007559670624928433e-02,-6.886287377345798322e-02
6.664341450283539636e-02,-3.253603598952716641e-02,2.344409486840362197e-02
2.355810644613737931e-02,2.335264719700935743e-02,-2.577709327081534330e-02
-5.341812858288549903e-02,1.528259095353303419e-02,3.324574785745495337e-02
2.662830422040582748e-02,5.875203783532163826e-02,8.335308677564760849e-03
1.426069166528900339e-02,7.116911952846921574e-02,3.062006177950244226e-02
9.431576819056063099e-02,9.573116810172860314e-02,6.120980537024946905e-02
-5.800890286984350733e-03,-3.102090163606543646e-02,-4.239200513816213101e-02
-7.352733930313926081e-02,1.005182890894455033e-02,-2.214970290733119310e-02
-4.102326258617624427e-02,-2.616096850668773316e-02,-5.532488446798148295e-03
2.214796261996717849e-02,-2.439096548450185933e-02,6.990901151856275531e-02
6.656769002931182955e-03,5.482968073276202337e-03,1.453693268060044820e-02
1.504824490168003327e-02,-3.822995410981518127e-02,-4.815231330294106327e-02
-1.559516068570566787e-02,8.877256855787821199e-02,-5.370768914560402479e-02
-1.995645186661568465e-03,-1.746444139914445776e-02,-4.568332173728013867e-02
-1.823473403775177637e-02,-4.304797915668545638e-02,4.500974759055743207e-02
-3.493022273650442378e-02,-1.296760248403653476e-02,1.112273984416418254e-02
1.367565388980591413e-02,-4.689268401717578555e-02,9.142118150500007714e-03
-1.399123818324442825e-01,-3.705422795158287014e-02,-8.238319437011004664e-03
-8.955401957526888668e-02,-1.593752677074995391e-02,-1.275524915137224435e-01
-1.947596174902772176e-02,-4.703459040881574627e-02,-4.168778948233083786e-02
-2.340226454636103876e-02,-5.885898893864319886e-03,-3.617798938260308184e-02
1.248832945589487681e-02,2.477824939155178624e-02,-3.453591351472268256e-02
-3.848712544969078858e-02,-3.991827540781203026e-02,-1.006223539684344796e-02
-4.256938991946971479e-02,1.164390161314095805e-02,-1.038850025889765105e-01
1.023907822819770420e-02,-2.076431054781351440e-02,9.173853130861098258e-04
8.258458889240427592e-03,1.595644252090053228e-02,3.031897807911110992e-02
7.202981401044021570e-03,9.374524163072436855e-02,-3.305302167279732667e-02
7.677975155422335669e-03,-9.572465932466951710e-02,3.639864611822182100e-02
3.903675908257841359e-02,-2.458778590575701195e-02,-2.329573456180415725e-02
1.039935495622040795e-02,1.721730652459621883e-02,5.215797276633458990e-02
5.129923333761860806e-03,-1.368573695951740780e-03,7.010956065442162932e-02
4.574389581645384173e-02,2.832785631631293613e-02,-2.621817840798712843e-02
-9.897522596298961861e-02,-1.942427436370643828e-02,9.355471562900243991e-06
4.606245627341398058e-02,5.622859068322402093e-02,2.903867013418042278e-02
-2.249094436880109266e-02,-1.384387306824073210e-02,3.316105819370658570e-02
7.495685553683070768e-02,-1.209460906327700959e-02,7.054359892608714003e-03
3.789259050739494233e-02,-1.867383159195446993e-02,1.498218986699593157e-02
4.868678211327701760e-02,6.232041953450628835e-02,9.000588162527965383e-03
-1.139597365646755067e-02,-1.323931883251940750e-02,-4.463848275213951750e-02
