ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
9.999999999999997780e-02,-1.478217465158571369e-03,-9.793537842174435681e+00
1.899999999999999467e-01,-1.478291455210985509e-03,-9.793537837300599236e+00
2.709999999999999076e-01,-1.478431965068333293e-03,-9.793537826758150544e+00
3.438999999999998725e-01,-1.478632342765206316e-03,-9.793537811112468461e+00
4.095099999999998741e-01,-1.478886601532420448e-03,-9.793537790871857496e+00
4.685589999999998922e-01,-1.479189353277425220e-03,-9.793537766493384922e+00
5.217030999999998642e-01,-1.479535748716671048e-03,-9.793537738388105041e+00
5.695327899999997889e-01,-1.479921423494735518e-03,-9.793537706925732778e+00
6.125795109999998544e-01,-1.480342449691533085e-03,-9.793537672438832331e+00
6.513215598999998468e-01,-1.480795292178805267e-03,-9.793537635226595484e+00
6.861894039099998288e-01,-1.481276769340954345e-03,-9.793537595558209574e+00
7.175704635189998903e-01,-1.481784017723796485e-03,-9.793537553675882634e+00
7.458134171670999235e-01,-1.482314460218434092e-03,-9.793537509797561214e+00
7.712320754503899645e-01,-1.482865777426742651e-03,-9.793537464119379976e+00
7.941088679053509569e-01,-1.483435881890304885e-03,-9.793537416817860830e+00
8.146979811148158390e-01,-1.484022894896450985e-03,-9.793537368051866920e+00
8.332281830033342329e-01,-1.484625125603694163e-03,-9.793537317964391420e+00
8.499053647030008207e-01,-1.485241052254622062e-03,-9.793537266684129605e+00
8.649148282327007164e-01,-1.485869305267496082e-03,-9.793537214326940799e+00
8.784233454094306781e-01,-1.486508652018693260e-03,-9.793537160997109581e+00
8.905810108684876214e-01,-1.487157983146897896e-03,-9.793537106788507529e+00
9.015229097816388482e-01,-1.487816300226881211e-03,-9.793537051785650149e+00
9.113706188034749189e-01,-1.488482704675893331e-03,-9.793536996064611699e+00
9.202335569231274714e-01,-1.489156387769424586e-03,-9.793536939693888499e+00
9.282102012308147687e-01,-1.489836621655381277e-03,-9.793536882735137894e+00
9.353891811077332807e-01,-1.490522751266852314e-03,-9.793536825243879917e+00
9.418502629969599527e-01,-1.491214187043591157e-03,-9.793536767270087040e+00
9.476652366972639907e-01,-1.491910398381353885e-03,-9.793536708858765039e+00
9.528987130275375916e-01,-1.492610907736301607e-03,-9.793536650050421954e+00
9.576088417247837770e-01,-1.493315285318962734e-03,-9.793536590881535275e+00
9.618479575523053438e-01,-1.494023144318798371e-03,-9.793536531384953392e+00
9.656631617970747872e-01,-1.494734136606309547e-03,-9.793536471590240211e+00
9.690968456173673085e-01,-1.495447948864938236e-03,-9.793536411524026875e+00
9.721871610556305221e-01,-1.496164299109772021e-03,-9.793536351210274660e+00
9.749684449500675143e-01,-1.496882933554382613e-03,-9.793536290670578737e+00
9.774716004550607629e-01,-1.497603623790978418e-03,-9.793536229924367120e+00
9.797244404095546422e-01,-1.498326164252541818e-03,-9.793536168989142254e+00
9.817519963685992224e-01,-1.499050369928752813e-03,-9.793536107880658648e+00
