ref_gps_lat (deg),ref_gps_lon (deg),ref_gps_alt (m),ref_gps_vN (m/s),ref_gps_vE (m/s),ref_gps_vD (m/s)
3.045000000000000284e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045001805304701037e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.004138105960900162e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045003616185815787e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.012094189891315210e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045005434886472528e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.021381520424477074e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045007262188798691e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.031133027946472680e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045009098365507683e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.041046383976865641e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045010943511687884e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.051016173092698835e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045012797660493931e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.061005639208734053e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045014660823487063e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.071001966270504724e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045016533004697834e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.081000685596131916e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045018414205531698e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.091000239052589649e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045020304426478575e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.101000083352484182e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045022203667709704e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.111000029063214356e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045024111929283706e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.121000010133716174e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045026029211221541e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.131000003533408105e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045027955513531026e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.141000001232022854e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045029890836213937e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.151000000429579373e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045031835179271695e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.161000000149785194e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045033788542703945e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.171000000052227108e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045035750926510332e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.181000000018210372e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045037722330691921e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.191000000006350135e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045039702755248356e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.201000000002214563e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045041692200178929e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.211000000000772303e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045043690665483993e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.221000000000269381e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045045698151163549e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.231000000000093664e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045047714657217242e+01,1.144699999999999989e+02,0.000000000000000000e+00,2.241000000000032344e+01,0.000000000000000000e+00,0.000000000000000000e+00
