ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
3.601799649885233882e-03,-1.804076222671866132e-04,-2.117390548902823612e-03
3.601799583214807757e-03,-1.804166425983706214e-04,-2.117390662312939979e-03
3.601799516541044893e-03,-1.804337812725446228e-04,-2.117390775728725423e-03
3.601799449860943782e-03,-1.804582264554002345e-04,-2.117390889155282632e-03
3.601799383171806063e-03,-1.804892474960598193e-04,-2.117391002597204721e-03
3.601799316471200520e-03,-1.805261868087339812e-04,-2.117391116058625102e-03
3.601799249756939669e-03,-1.805684525662121904e-04,-2.117391229543264756e-03
3.601799183027056765e-03,-1.806155121240052763e-04,-2.117391343054472134e-03
3.601799116279778921e-03,-1.806668861020730181e-04,-2.117391456595260450e-03
3.601799049513511927e-03,-1.807221430583793470e-04,-2.117391570168342379e-03
3.601798982726820732e-03,-1.807808946950920071e-04,-2.117391683776158242e-03
3.601798915918414702e-03,-1.808427915441618815e-04,-2.117391797420905067e-03
3.601798849087129838e-03,-1.809075190843450142e-04,-2.117391911104560005e-03
3.601798782231920969e-03,-1.809747942465218015e-04,-2.117392024828903315e-03
3.601798715351847008e-03,-1.810443622684847112e-04,-2.117392138595535715e-03
3.601798648446061409e-03,-1.811159938642470618e-04,-2.117392252405898324e-03
3.601798581513798291e-03,-1.811894826764207805e-04,-2.117392366261289152e-03
3.601798514554375909e-03,-1.812646429833567887e-04,-2.117392480162874797e-03
3.601798447567172365e-03,-1.813413076355709184e-04,-2.117392594111706938e-03
3.601798380551633413e-03,-1.814193261985273559e-04,-2.117392708108730998e-03
3.601798313507259021e-03,-1.814985632811439938e-04,-2.117392822154797426e-03
3.601798246433599027e-03,-1.815788970314470086e-04,-2.117392936250672968e-03
3.601798179330247072e-03,-1.816602177826598722e-04,-2.117393050397046745e-03
3.601798112196839732e-03,-1.817424268346837636e-04,-2.117393164594539787e-03
3.601798045033047409e-03,-1.818254353574298634e-04,-2.117393278843708940e-03
3.601797977838575200e-03,-1.819091634038180738e-04,-2.117393393145058575e-03
3.601797910613157693e-03,-1.819935390214765458e-04,-2.117393507499040588e-03
3.601797843356555062e-03,-1.820784974532703763e-04,-2.117393621906060903e-03
3.601797776068551334e-03,-1.821639804177783723e-04,-2.117393736366486416e-03
3.601797708748954389e-03,-1.822499354617213734e-04,-2.117393850880648024e-03
3.601797641397587284e-03,-1.823363153771482355e-04,-2.117393965448841498e-03
3.601797574014296063e-03,-1.824230776769027228e-04,-2.117394080071333552e-03
3.601797506598936743e-03,-1.825101841225444806e-04,-2.117394194748365311e-03
3.601797439151383125e-03,-1.825976002994770923e-04,-2.117394309480152750e-03
3.601797371671521149e-03,-1.826852952345637150e-04,-2.117394424266891024e-03
3.601797304159247599e-03,-1.827732410519813065e-04,-2.117394539108754473e-03
3.601797236614468368e-03,-1.828614126634890832e-04,-2.117394654005901825e-03
3.601797169037101922e-03,-1.829497874896703557e-04,-2.117394768958474460e-03
3.601797101427073669e-03,-1.830383452090501254e-04,-2.117394883966599878e-03
3.601797033784313352e-03,-1.831270675323007932e-04,-2.117394999030393007e-03
3.601796966108761992e-03,-1.832159379990276529e-04,-2.117395114149958797e-03
3.601796898400363642e-03,-1.833049417948753683e-04,-2.117395229325388754e-03
3.601796830659071465e-03,-1.833940655869242375e-04,-2.117395344556766579e-03
3.601796762884837324e-03,-1.834832973755464065e-04,-2.117395459844169034e-03
3.601796695077624788e-03,-1.835726263610769479e-04,-2.117395575187663338e-03
3.601796627237396561e-03,-1.836620428238172370e-04,-2.117395690587310208e-03
3.601796559364119684e-03,-1.837515380160386854e-04,-2.117395806043165154e-03
3.601796491457765967e-03,-1.838411040647855335e-04,-2.117395921555277182e-03
3.601796423518309389e-03,-1.839307338843974350e-04,-2.117396037123691396e-03
3.601796355545725230e-03,-1.840204210977803602e-04,-2.117396152748447259e-03
3.601796287539993108e-03,-1.841101599655494303e-04,-2.117396268429581202e-03
3.601796219501094375e-03,-1.841999453222583141e-04,-2.117396384167126184e-03
3.601796151429011248e-03,-1.842897725190053865e-04,-2.117396499961110828e-03
3.601796083323727683e-03,-1.843796373717791932e-04,-2.117396615811561154e-03
3.601796015185231101e-03,-1.844695361149692437e-04,-2.117396731718501016e-03
3.601795947013507193e-03,-1.845594653595263512e-04,-2.117396847681952531e-03
3.601795878808546417e-03,-1.846494220553059605e-04,-2.117396963701934347e-03
3.601795810570337496e-03,-1.847394034571782102e-04,-2.117397079778463378e-03
3.601795742298871325e-03,-1.848294070945261276e-04,-2.117397195911555237e-03
3.601795673994140964e-03,-1.849194307437944157e-04,-2.117397312101223800e-03
3.601795605656137739e-03,-1.850094724037832771e-04,-2.117397428347482513e-03
3.601795537284855579e-03,-1.850995302734130272e-04,-2.117397544650341350e-03
3.601795468880287544e-03,-1.851896027317117546e-04,-2.117397661009812887e-03
3.601795400442429733e-03,-1.852796883198049884e-04,-2.117397777425902329e-03
3.601795331971276940e-03,-1.853697857247053849e-04,-2.117397893898621385e-03
3.601795263466823094e-03,-1.854598937647245979e-04,-2.117398010427976561e-03
3.601795194929066461e-03,-1.855500113763429936e-04,-2.117398127013973928e-03
3.601795126358001836e-03,-1.856401376023928231e-04,-2.117398243656620424e-03
3.601795057753627918e-03,-1.857302715814234187e-04,-2.117398360355919953e-03
3.601794989115939937e-03,-1.858204125381287457e-04,-2.117398477111879455e-03
3.601794920444935724e-03,-1.859105597747336331e-04,-2.117398593924501530e-03
3.601794851740613111e-03,-1.860007126632404813e-04,-2.117398710793790950e-03
3.601794783002971664e-03,-1.860908706384512554e-04,-2.117398827719750749e-03
3.601794714232006613e-03,-1.861810331916877322e-04,-2.117398944702384832e-03
3.601794645427718392e-03,-1.862711998651397167e-04,-2.117399061741695367e-03
3.601794576590103963e-03,-1.863613702467777490e-04,-2.117399178837685823e-03
3.601794507719164196e-03,-1.864515439657756023e-04,-2.117399295990357935e-03
3.601794438814895187e-03,-1.865417206883895017e-04,-2.117399413199713438e-03
3.601794369877296502e-03,-1.866319001142499362e-04,-2.117399530465755367e-03
3.601794300906369008e-03,-1.867220819730245653e-04,-2.117399647788483722e-03
3.601794231902109671e-03,-1.868122660214142200e-04,-2.117399765167901973e-03
3.601794162864519356e-03,-1.869024520404494996e-04,-2.117399882604010120e-03
3.601794093793595029e-03,-1.869926398330581463e-04,-2.117400000096809898e-03
3.601794024689338857e-03,-1.870828292218750118e-04,-2.117400117646301740e-03
3.601793955551747806e-03,-1.871730200472714110e-04,-2.117400235252487814e-03
3.601793886380821874e-03,-1.872632121655816656e-04,-2.117400352915368555e-03
3.601793817176562797e-03,-1.873534054475065622e-04,-2.117400470634943962e-03
3.601793747938967106e-03,-1.874435997766768112e-04,-2.117400588411215770e-03
3.601793678668036101e-03,-1.875337950483600550e-04,-2.117400706244184846e-03
3.601793609363768914e-03,-1.876239911682972203e-04,-2.117400824133850324e-03
3.601793540026165114e-03,-1.877141880516550166e-04,-2.117400942080214371e-03
3.601793470655225132e-03,-1.878043856220836286e-04,-2.117401060083277421e-03
3.601793401250947668e-03,-1.878945838108681389e-04,-2.117401178143037740e-03
3.601793331813333155e-03,-1.879847825561651133e-04,-2.117401296259497929e-03
3.601793262342382028e-03,-1.880749818023154342e-04,-2.117401414432657555e-03
3.601793192838092551e-03,-1.881651814992259524e-04,-2.117401532662517051e-03
3.601793123300465593e-03,-1.882553816018128583e-04,-2.117401650949076852e-03
3.601793053729499851e-03,-1.883455820695005361e-04,-2.117401769292336523e-03
3.601792984125197061e-03,-1.884357828657711592e-04,-2.117401887692296498e-03
3.601792914487556355e-03,-1.885259839577585483e-04,-2.117402006148958512e-03
3.601792844816576432e-03,-1.886161853158832015e-04,-2.117402124662320397e-03
3.601792775112259027e-03,-1.887063869135234561e-04,-2.117402243232383886e-03
3.601792705374602839e-03,-1.887965887267199891e-04,-2.117402361859148114e-03
3.601792635603607868e-03,-1.888867907339092389e-04,-2.117402480542613513e-03
3.601792565799273680e-03,-1.889769929156840408e-04,-2.117402599282781385e-03
3.601792495961601576e-03,-1.890671952545779522e-04,-2.117402718079649995e-03
3.601792426090590690e-03,-1.891573977348712883e-04,-2.117402836933221077e-03
3.601792356186241020e-03,-1.892476003424161052e-04,-2.117402955843493764e-03
3.601792286248551699e-03,-1.893378030644794513e-04,-2.117403074810468491e-03
3.601792216277524463e-03,-1.894280058896014994e-04,-2.117403193834144822e-03
3.601792146273158010e-03,-1.895182088074685324e-04,-2.117403312914523193e-03
3.601792076235452340e-03,-1.896084118087981805e-04,-2.117403432051603168e-03
