accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
3.459143529203265437e-04,-8.252263328985424973e-03,-9.797694232668812120e+00
3.070957115813744472e-03,-2.298133106547689888e-04,-9.795253145669086337e+00
1.402523658465407337e-03,-2.114925280173720679e-04,-9.784022343449475301e+00
2.386684264434413196e-03,5.643345584857665034e-03,-9.799845542859154435e+00
-3.923250046106187966e-03,5.663912407474700796e-03,-9.802615845742744582e+00
1.662827592170831436e-03,-6.015223033680605494e-04,-9.802534233461006608e+00
-2.023725382739484293e-03,-2.319940972559775922e-04,-9.785246532730212721e+00
-4.894889897804629610e-03,-6.034726141117605254e-03,-9.795630121856831352e+00
-1.139811333211106941e-04,3.781484722420905102e-03,-9.790040254068337333e+00
2.343178721947741620e-03,-2.373226514228278430e-03,-9.793995986904951323e+00
-2.145958462851441095e-03,-1.652480208392713900e-03,-9.789290164629374402e+00
-1.109065778189501084e-02,4.611036933704524936e-03,-9.797536488454849035e+00
-7.229605405638253081e-03,-2.406464717248785664e-05,-9.799816587351237729e+00
-4.280750575801576391e-03,2.942748642027413243e-03,-9.798260661748980027e+00
-2.338309097210697720e-04,2.884422260000289728e-03,-9.793785775556692386e+00
3.225921108050082853e-03,1.455602211894394026e-03,-9.793844735563737913e+00
-4.811240058854158140e-03,-8.119938821443340587e-03,-9.784848415848307113e+00
-5.112019121828319766e-03,-9.608554369765558503e-03,-9.798312226487400523e+00
-2.506260076246435552e-03,-3.961045322511037685e-03,-9.800144579697422031e+00
5.546095177855119539e-03,-6.415628329270163478e-05,-9.788003671085105495e+00
4.595593778631381840e-03,4.441495853362422558e-03,-9.789121330238266694e+00
3.106617833040931694e-03,-9.424129065351909487e-03,-9.794020595368541748e+00
1.030195649963669635e-04,1.226098996542071638e-03,-9.795940744035915415e+00
-7.164356821588023939e-04,-1.760390686109843984e-03,-9.796860873702167183e+00
3.963712773185947003e-03,9.826905845583073975e-04,-9.799355838255310758e+00
2.251702128661462084e-03,3.518493782893567390e-03,-9.792116410018092409e+00
2.571061122276529533e-04,3.499639333052333243e-03,-9.796686667676894444e+00
-8.381222887301375407e-03,-5.412624137181317081e-03,-9.795069727607383925e+00
8.376848420446126372e-04,-8.817412032258491184e-03,-9.783106818697113738e+00
2.599903439488090323e-04,-8.646141926401925207e-03,-9.789095526706082850e+00
1.947846707716611699e-03,1.829966283533786655e-03,-9.804090164053134160e+00
-4.528880731673042351e-03,3.406095923791344245e-04,-9.793460504978533265e+00
3.193604753603150430e-03,1.245966234846581245e-03,-9.793052018220164356e+00
-4.228956532854100114e-03,-6.750340647907668995e-03,-9.802643048824361216e+00
-3.344501403149921265e-04,1.800943109423141283e-03,-9.793978242277178836e+00
7.192135151159304474e-05,-1.881572279512510552e-03,-9.782371870199163766e+00
-5.855754259440518021e-03,-2.645866583028031859e-03,-9.790906107962495497e+00
2.541811610617481648e-03,-3.812901219876475151e-03,-9.797488140551861235e+00
-4.696259247475214303e-03,-9.179936639401220858e-03,-9.793719107422539594e+00
2.181766631438126960e-03,-5.859517610197040316e-03,-9.795433122995911290e+00
1.706480096087837901e-04,9.597594488968822987e-03,-9.797651649539851348e+00
-6.301078912916497493e-03,4.413230029768993451e-03,-9.802224264251327313e+00
-7.188023717875362435e-03,6.939034266601227597e-04,-9.792478108210454835e+00
-4.096570278405714397e-04,6.396860447105876500e-04,-9.802627876184351052e+00
3.378019304078111549e-03,-1.020526792568460196e-03,-9.793400867335522619e+00
1.683563318242715717e-03,9.247149788702190010e-03,-9.790421158095252707e+00
3.640730603747590992e-03,-5.230881273056822538e-03,-9.801438013534438554e+00
3.882345734473922698e-04,2.427406643932791212e-03,-9.794192452820093209e+00
3.547296071937417090e-03,1.193289743057196137e-02,-9.796331419699800591e+00
-2.090564411514451906e-03,-2.934463077179874473e-03,-9.792253874988839257e+00
-1.215202351421205973e-02,6.282983045721501035e-03,-9.794086569969822520e+00
2.180065772997821262e-03,-6.283638807844873922e-04,-9.794025888856719320e+00
-4.704149014554770067e-03,-8.396983367328651662e-04,-9.790825045109219360e+00
5.466143284827439108e-03,-1.022193997281655928e-02,-9.795943214475963501e+00
-5.943109824200669758e-03,7.536590901318880771e-03,-9.793602003230903463e+00
-6.147520993512228284e-03,6.311315262535808048e-04,-9.796360728911100324e+00
-5.484209801184976307e-03,1.800315868403231084e-03,-9.792508195109192570e+00
-9.337214308916338620e-03,-7.330334591261434760e-04,-9.795013469052021193e+00
-5.834954662256198500e-03,-3.250901333309294062e-05,-9.792135785665115222e+00
8.226328419340093664e-03,4.791377057004901109e-03,-9.793703630759974743e+00
8.373841443828081849e-03,5.468441546134867465e-03,-9.801048238747512187e+00
2.361205384455830787e-03,2.755367574483850567e-03,-9.794923214701528380e+00
2.531437460392457327e-03,-4.316932366325248668e-03,-9.804664493731257480e+00
2.812908011853705549e-04,-3.401081748830086723e-03,-9.799645354355435600e+00
-6.098582767916600929e-03,-1.034908949054119329e-03,-9.804128277352180731e+00
1.714663861905668532e-03,-1.916263245441897790e-03,-9.796517412063257879e+00
-2.800423847295556434e-03,1.528587876557683731e-03,-9.798156420704042802e+00
1.047691709026242132e-03,9.413482325051102714e-04,-9.790451803300980416e+00
2.113831771157179823e-03,9.411269785798506010e-03,-9.791057318243417740e+00
-7.334814582898000965e-03,4.880466587790324197e-03,-9.800104805840033961e+00
4.826256311346498185e-03,-6.219471962733283572e-03,-9.790958476737076310e+00
-1.243409123851589527e-04,-7.232900625259693420e-03,-9.800070048769558895e+00
9.794353183404491247e-04,-4.888651577542216242e-03,-9.792696757108483752e+00
4.174643159163873504e-03,1.106722330190246326e-03,-9.797859674609657787e+00
-7.086048728154076271e-03,8.642931715447154176e-03,-9.795117483376937884e+00
5.045691845022764153e-03,1.366286848360243359e-03,-9.794571786092431509e+00
-2.971434066112779108e-03,-3.772230341820881176e-03,-9.791746508786543401e+00
1.146530085365120343e-03,1.742491083298308447e-03,-9.792136719958165259e+00
1.046687946259370998e-02,2.361156900631327434e-03,-9.795142230599914512e+00
-1.029982526582444435e-02,-1.793815441715864442e-03,-9.796228162853523713e+00
4.886740310959175604e-03,-7.048896386336113082e-03,-9.797713685748457024e+00
-9.725373482105274586e-04,-6.346918582533432954e-03,-9.792435996369322382e+00
-5.411133636088392941e-04,-4.031331003505357440e-03,-9.791937695807147790e+00
-4.534679956023544845e-03,-1.613292437669628081e-03,-9.798812316975070047e+00
-5.023299494836498333e-03,6.804804341339449128e-03,-9.793197117096482884e+00
5.122074086588242550e-03,-1.029177926081626358e-02,-9.794841866392101082e+00
3.964986445114117644e-03,2.390049014631557677e-03,-9.795524044286008092e+00
3.653549340671372915e-03,-6.483944774249612505e-03,-9.800206848404888760e+00
9.247276985550685786e-04,-6.867768104855244502e-04,-9.792613899719929904e+00
-2.627533712408188470e-03,8.492300896479497777e-03,-9.783434674107402529e+00
6.559688524703636593e-03,-1.524203381141670433e-04,-9.803211542638509357e+00
-5.628637125655890777e-03,9.024090626791977932e-03,-9.796760956629766426e+00
1.517307376881174658e-05,4.836660631053779115e-03,-9.794126163843104749e+00
3.214008396987484955e-03,-4.395232125435063163e-03,-9.797934734870116458e+00
4.341526177479044547e-03,9.379086765165214196e-03,-9.792434618426591797e+00
2.927963815848653832e-03,-2.824317758934109367e-03,-9.797064324130301927e+00
3.040406249753723616e-03,3.817757837217661265e-03,-9.789561235338430478e+00
-1.421363453414911876e-03,-7.410237879752909484e-03,-9.797831582550914575e+00
-2.436251427346084256e-03,-1.152232104577036696e-02,-9.790540690314005090e+00
2.254516307358395491e-03,-6.336489358756576366e-03,-9.792362947426257236e+00
2.923314669507626196e-03,-8.851720690970012748e-04,-9.790963959050541732e+00
2.678482711057087824e-06,-1.072807182571540192e-03,-9.789463149207815462e+00
-3.601035164181442139e-03,-2.410814660653709095e-03,-9.802769006563606169e+00
-2.431612254918373399e-03,-3.692173345440405430e-03,-9.793508267378697951e+00
-9.667217731447283469e-03,6.192967006104034555e-03,-9.795313088205597651e+00
-7.370997417158984231e-03,-7.552218590017963605e-03,-9.793648558288454709e+00
4.558932176719319648e-03,5.003291328778618902e-03,-9.804430908090175478e+00
-1.273929379519572270e-03,6.644354792579723959e-03,-9.790289800863277492e+00
-5.457589093228494906e-03,5.388809227961067171e-03,-9.795320940184183200e+00
1.366160577209955341e-03,6.882244718940675257e-04,-9.797739894944786698e+00
8.767093759892250360e-04,2.061882217943316296e-03,-9.788462691495457335e+00
-1.247957898660675665e-03,-2.933236982337431974e-03,-9.791865757969913986e+00
-6.285125587740847224e-03,4.861040217225403963e-03,-9.805314388114148016e+00
1.868424376897298892e-04,-3.691344552194370573e-03,-9.792617988798788531e+00
-5.240008003823443290e-03,4.026871489504477326e-03,-9.780167220760246138e+00
-6.444533300719279241e-04,6.616927665049509265e-03,-9.794116189080886770e+00
1.466213899225826244e-03,2.896269661242357237e-03,-9.789615475096862696e+00
3.258243548056746763e-03,-1.928885387814455871e-03,-9.795363476873568231e+00
-5.476820402226995933e-03,-2.736435204990136146e-03,-9.801171344555573484e+00
-9.844230135536945203e-04,1.234500865288336345e-03,-9.803494074769256272e+00
7.743894539860272236e-03,-2.650691837445629927e-03,-9.797848903814781352e+00
-2.228205725758433849e-03,1.416957834157599920e-03,-9.798017085702833029e+00
2.410862284835197256e-03,-8.035937030760310906e-03,-9.800320063512467428e+00
-3.199981673176892881e-03,8.982000169565513290e-04,-9.794007780922962425e+00
-1.958089144993455056e-04,1.073108476462655055e-03,-9.784510989917082568e+00
2.028763755176200053e-03,4.518333073374473409e-03,-9.796355777547780974e+00
1.479126442611896665e-03,3.155489565983646272e-03,-9.785773737707121001e+00
-1.039338463906097241e-03,-8.731825472831441018e-03,-9.800637260997147493e+00
3.301000787435220442e-03,7.799370650688879428e-03,-9.796432537098201720e+00
-2.257730706134466331e-03,-1.144224497109108110e-03,-9.790887622329648821e+00
-9.342439900855283724e-03,-1.013448198813908822e-03,-9.799202904848941742e+00
-1.220848645456796156e-03,-9.155628204614142326e-03,-9.796625670391325258e+00
5.280843845821966628e-03,-1.210183682156161294e-03,-9.794435441474485415e+00
1.425296452248375409e-02,7.407173723919051843e-03,-9.785534098106955625e+00
1.730791549815279429e-03,4.463003955766983027e-03,-9.791642042519791644e+00
-4.184370038873961098e-03,-1.603719413304294846e-03,-9.795824104412986344e+00
-2.350057301510188792e-03,-7.909225775752483714e-03,-9.790635348123084114e+00
4.780314095251718756e-03,-3.924706350378830144e-03,-9.789907352681064268e+00
-2.560355034470446298e-03,7.493273624375490494e-03,-9.794409750240379964e+00
-3.023592930200725767e-03,-2.172536831456167781e-04,-9.799848082088811196e+00
5.799208722146116483e-03,-5.399948133834452102e-03,-9.797019559448489900e+00
-9.375332289029523895e-05,6.949311614025684798e-04,-9.787998461070044343e+00
2.904931354865298307e-05,-5.256291076417693095e-03,-9.798300716854571490e+00
4.174220188574972665e-03,5.086791337508644959e-04,-9.792315735406710075e+00
1.653618264975889899e-03,6.016288791202539961e-03,-9.795142307143851923e+00
-6.044713494504257156e-04,1.848660683931177551e-03,-9.795128981982662353e+00
1.348106594676505641e-04,3.129410711981134427e-04,-9.788320034289526461e+00
-7.905726689666566984e-03,-3.160121183559863600e-03,-9.796123638792197497e+00
-5.715567081989768664e-03,-7.840772962691587502e-05,-9.782927352414299449e+00
3.809217594196329017e-03,-9.003858011398802041e-03,-9.800604512223745957e+00
9.516778533836550312e-04,1.785567802016666027e-03,-9.785094392125648355e+00
-9.423154246374909615e-03,7.964818068978318094e-03,-9.801218102047338121e+00
-1.225588625970053941e-02,-7.835200270908219966e-03,-9.801571143089594429e+00
1.962927740563127476e-03,-1.187456670320096927e-02,-9.797033992473668462e+00
2.372472730687682704e-03,5.197322134437138384e-03,-9.806769172660047218e+00
-5.514340583462981442e-03,4.989649151552094306e-03,-9.793263988286311061e+00
-2.078168402280611629e-03,6.529166635690930760e-03,-9.804199939044515588e+00
-4.391191892817158764e-03,-6.585371496149843885e-03,-9.788899089477849813e+00
-7.110969061306286407e-03,4.691706229075388347e-03,-9.793185754193578063e+00
7.439752875038139601e-04,-1.110556613884910310e-03,-9.797044735438250385e+00
-8.857352789878293609e-03,2.970146930710660348e-03,-9.797077290656229565e+00
-9.260236966993708879e-03,-2.144826606447140186e-03,-9.802019463085242634e+00
-1.763537418607804153e-03,1.192321588183675729e-02,-9.802832027969950346e+00
1.063125423212878421e-03,-6.920031845406711749e-03,-9.797679604139013065e+00
5.120322542491347918e-03,9.371886783958702921e-03,-9.786836212856993455e+00
-2.052409323075916978e-03,-6.449535721552797710e-03,-9.792437833217009668e+00
-5.293299454582651477e-03,9.771117662767229994e-05,-9.796230835114002389e+00
-3.957504268265442555e-03,4.998194478909761748e-03,-9.798501033622361689e+00
-1.081685830417195059e-03,3.453209697589795443e-03,-9.787892715805931232e+00
-6.606430056283439656e-03,-3.648515270906676176e-03,-9.788010694867583794e+00
4.504694234622326834e-03,6.051352560676236201e-04,-9.793950867338470090e+00
3.453615384428861731e-03,-1.365835484083166053e-03,-9.789942475599792360e+00
1.522286561952732693e-03,4.810120763435606051e-04,-9.788005994036613089e+00
1.083060084913562131e-03,6.156286467860627590e-04,-9.798453050537110798e+00
-4.059510859685248885e-03,-2.400984573617810473e-03,-9.792576828079955220e+00
2.124563179061475168e-03,-4.811183232668686527e-03,-9.802479946274365474e+00
1.014921748666205645e-03,-7.957255127077095258e-03,-9.791469981605700923e+00
2.216587085111776032e-03,-4.437152079970542971e-03,-9.797792628027384154e+00
-2.949196733943594117e-03,8.742907480169165996e-03,-9.797691129154207701e+00
-1.056194174529118037e-03,-6.131018353012367833e-03,-9.789844786981429792e+00
-3.560995181245195026e-03,-1.159421451621722330e-03,-9.801630459928659889e+00
-1.242308824138677048e-02,-2.212204162278106918e-03,-9.802276841796631501e+00
-2.780442021292215543e-03,3.717484103643265477e-03,-9.788320846350663018e+00
4.050189881851734910e-03,2.885617372711205258e-03,-9.795616984603780608e+00
1.290793368605032279e-03,-4.295346014705975386e-03,-9.795089283893855026e+00
7.268163118764610353e-03,3.639365507172656177e-03,-9.796008089628402971e+00
3.202683210863727526e-03,3.702955708087605873e-03,-9.789474479243528648e+00
-5.454075111420091104e-03,-5.027503901328502292e-03,-9.784585613548310690e+00
-9.459878712552280324e-04,8.304903711020536483e-03,-9.796529742868857582e+00
-2.451089652804976354e-03,4.908168785407876836e-04,-9.798579434057591797e+00
6.304061850032966667e-04,-2.304696297030414762e-03,-9.796917578254646486e+00
3.210961902238480565e-03,-7.039180883748132370e-05,-9.793311704314270116e+00
-3.435981771312374491e-03,4.575285608909581726e-03,-9.792338449400171285e+00
8.960824216802193648e-05,6.760986990888694526e-04,-9.800100453439894110e+00
9.167530204131147872e-03,-2.523506577656943559e-03,-9.787801623991487787e+00
-1.175469824839413605e-02,1.052188273976073681e-02,-9.803416957314780689e+00
-2.098575486784767970e-03,-1.255211988651007068e-02,-9.792547664003700802e+00
-2.168637420266628958e-03,4.127445830283982611e-03,-9.795412989115238389e+00
8.676265670458387438e-03,5.318870969213187853e-03,-9.792241366597931318e+00
3.016501867618227254e-03,2.557088470759367148e-03,-9.798046943259306474e+00
6.350350400014085923e-04,1.087798711168004757e-02,-9.795049514303645566e+00
-7.865310022283005659e-03,-3.548600310090206829e-03,-9.799601985661931636e+00
1.021235291196807490e-02,1.006464907117694645e-03,-9.799536837636985354e+00
-5.047830757965395855e-03,-3.058214312912242629e-03,-9.795959684163440429e+00
1.218096996752569480e-03,-3.339187329285967388e-03,-9.796750193172723442e+00
6.382222307002929050e-03,4.026647062119693456e-03,-9.796441472801452832e+00
3.306027304449376744e-03,-1.135852939902522044e-03,-9.793861007981174538e+00
-3.751888340570949578e-03,-1.107675776423834536e-03,-9.792626606253215016e+00
-7.219332820664508751e-03,4.198890386669022583e-03,-9.786566500114711076e+00
1.039427028045015685e-04,2.043504628314670064e-03,-9.786555410099911256e+00
-3.785911890988188488e-03,-3.291096921425381606e-03,-9.788695704548656451e+00
1.443272618757227151e-04,-5.264204415167576291e-03,-9.803296256930483565e+00
-8.000560796170211667e-03,5.927034120028488312e-03,-9.792417933629410598e+00
-4.406673301011262631e-03,3.909653509187995500e-03,-9.808459596452856033e+00
-7.308906961691061417e-03,-5.241045495540296245e-04,-9.797313498212096405e+00
-8.506866857550319030e-03,-1.621003254886167061e-03,-9.792033739066491549e+00
-5.416969423124489216e-03,4.596635963038537762e-03,-9.790295511216019264e+00
-3.846310182954202055e-03,-2.671446251165602703e-03,-9.791851729604399424e+00
-3.397456398718344019e-03,-6.641132877702651122e-03,-9.803715341654971382e+00
-5.837113930988873343e-03,1.057815963916204118e-02,-9.798522654924044062e+00
-4.160768180380362141e-03,2.091887261995073921e-04,-9.786428408856032490e+00
3.074296747781875283e-03,-3.754760285086441432e-04,-9.795390984442283511e+00
-6.171646568387522411e-04,-1.472987587184149431e-03,-9.801281715652505611e+00
-6.582439985090731902e-03,-8.340170705727190494e-04,-9.793011285822760925e+00
