gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.200003185449046583e+01,1.199999901780143432e+02,7.871009603369940599e+00,-1.194407805914959181e-02,4.070442994910331014e-02,5.715455903900823476e-02
3.200004608886925439e+01,1.200000584452965313e+02,-8.046516165210192639e+00,-2.781223263345009022e-02,-2.547689614343089451e-02,6.256226750724985797e-02
3.199995581687801760e+01,1.200000069471957573e+02,-8.633936432258321858e+00,5.513244073904677300e-02,-2.783031816452204502e-02,3.833634433765514826e-02
3.199998779126398674e+01,1.200000680807515892e+02,4.519525060346460954e+00,3.219920576027188869e-02,2.229034742530105941e-03,6.295490312871014627e-02
3.199991395186483345e+01,1.199999529239295839e+02,2.690396061776911818e+00,5.491538206599734517e-02,-3.042575009170479794e-02,3.667459561125854112e-02
3.199999523550804525e+01,1.199999689396461235e+02,1.363078588189628526e+01,-6.901683936020291954e-02,-1.335151835369108309e-01,4.916155364178851489e-02
3.200002631241456896e+01,1.199999779153372259e+02,-9.770793111227419558e+00,1.719945830350244620e-02,1.158324752149127862e-02,-6.731052215366800651e-02
3.199999421102445041e+01,1.199999788563633132e+02,1.273827463095768309e+01,1.756601704944202400e-04,-1.276990353343252296e-02,-1.517629248016168220e-02
3.199998872765652891e+01,1.200000079465932146e+02,8.923723370627239859e+00,2.817021577608424740e-02,-3.212953538072842868e-02,2.128486072137717854e-03
3.199995960946660034e+01,1.199999451796903998e+02,4.197329752108185374e+00,-5.853989341228549304e-02,1.503220264065341372e-02,-2.123230609921782086e-02
3.199996493861911873e+01,1.200000290521167443e+02,-4.969381583190410012e+00,-3.735389770795147918e-02,6.334669647923528435e-02,-4.629010153619578238e-02
3.199999052128588772e+01,1.199998356118630767e+02,6.817547036214840261e+00,-2.913646438617199796e-02,-9.012143471959636887e-02,6.043496343614345075e-03
3.199998364251407068e+01,1.200000988743737906e+02,2.093911517922907706e+01,1.556595753545629048e-02,-6.605303430184877389e-04,8.663132181951995608e-03
3.199994237107657469e+01,1.199999895663591758e+02,-4.337294100494608173e+00,6.615715497861308914e-03,-6.306440044983665193e-03,3.645497570884033423e-02
3.199992185702913972e+01,1.200000351060599542e+02,9.498430187520357393e+00,-2.745460612023273013e-04,-1.067768327278404289e-01,-5.275167926355572856e-02
3.199999536988814697e+01,1.199999407592925280e+02,9.174943511702124965e+00,-7.115170413925235582e-02,5.914267446984744492e-02,6.422709883453420199e-02
3.199997744017683843e+01,1.200001300252862251e+02,2.572417195255408462e+00,3.894823064026494558e-03,-1.862860001919748251e-02,-5.554103673756739974e-03
3.200002202039341626e+01,1.200000337395888010e+02,-7.531260547312323084e+00,-4.921460125067420727e-02,3.908862717327883651e-02,8.031164730829093781e-03
3.200001286447378845e+01,1.200000089376152772e+02,8.347891306045068793e-01,2.133831797740239761e-02,8.840024798750240054e-02,3.876235576754813450e-02
3.200004802234153090e+01,1.199999852998695502e+02,4.949502010372577310e+00,-7.063275987673788003e-02,-2.094890622779038009e-02,-7.145235518542099665e-03
3.200005011321743353e+01,1.200000544175706239e+02,-3.580985673702106187e+00,2.059885297046289143e-02,5.094443087091721570e-03,-9.613306025006667158e-03
3.200012395774005114e+01,1.199999721764091447e+02,3.498089906243595060e+00,1.474773557668485578e-03,4.444206468263104531e-02,-2.773320704409327434e-03
3.200002173719595078e+01,1.200000070371877570e+02,3.011839313526320616e+00,4.251103660758307617e-02,2.188353814298213407e-02,3.085784021656728937e-02
3.200003106676638254e+01,1.199999911588470383e+02,-9.149022812902201096e-01,6.121618813193422520e-02,4.120548206402840051e-03,1.008039135998803348e-01
3.199996891152201073e+01,1.199999994952223972e+02,1.524327912204819313e+01,6.592346451423734821e-02,1.022043729148799755e-02,4.791004890837688435e-02
3.200006863704066262e+01,1.199999896189493995e+02,-1.848743035337246265e+00,4.593063857260416827e-02,2.729582324278535810e-02,-8.865182976776728174e-02
3.199994701402116348e+01,1.200000216740216956e+02,9.782460406578769030e-02,4.023321982825121129e-02,-8.437067899221033923e-03,-3.641677810422493805e-02
3.200001028693058913e+01,1.199999987951615026e+02,6.861189417086627218e-01,6.851238204338193361e-02,9.515993711849235481e-02,1.817543409371969593e-02
3.199993311530455742e+01,1.200000264308806521e+02,3.782840514826709022e+00,6.447536511298809954e-03,-3.949684408872269209e-02,1.310887803307443367e-01
3.199999108640465550e+01,1.200000716304534336e+02,-1.043911258112123264e+01,4.254429543197674017e-03,-7.783976968716080358e-02,-1.268793258872105006e-02
3.199998694048812098e+01,1.199999062112520392e+02,8.369478591432696901e-02,6.413577589446721634e-03,-6.965388121158894749e-05,2.489964309855938196e-02
3.200001801779045252e+01,1.200000262731430496e+02,2.484836154614620263e+00,1.231780293478099836e-02,3.273580137020811603e-02,-6.457231879950185716e-02
3.200004412722803693e+01,1.199999809718846819e+02,-9.678273550695537963e+00,-5.436512607008108650e-02,3.501208490962281344e-02,-9.249414046562777145e-03
3.200001353925777892e+01,1.200000134947710251e+02,8.584574813804418669e-01,-1.849442138942012856e-02,1.933373959816787890e-02,-3.127404896892318348e-02
3.199991579592528623e+01,1.199999800236220437e+02,8.358207259387371302e-01,-4.403595808989467161e-03,-2.858730159535813331e-02,3.491733328886608562e-02
3.200002588190168495e+01,1.199999906010431374e+02,9.302344902106407076e+00,-2.453446203387909044e-02,-6.934430610687984664e-02,-9.034520592463503308e-02
3.199998712548763535e+01,1.199999553978031059e+02,3.389917257396948269e+00,-3.825576757305714035e-03,2.115158110234632849e-02,-5.364613140515709505e-02
3.199997641383731306e+01,1.199999305949362025e+02,1.598999786897444508e+01,3.091927408476099690e-02,-5.540678181401018781e-02,1.822553197423711080e-02
3.200004308707006828e+01,1.200000469157382952e+02,1.066505647447635097e+00,-2.903301632314998770e-02,2.449111208314884783e-02,1.454865307166334533e-02
3.199999591113115827e+01,1.200000741674064386e+02,3.654581996039864222e+00,-5.268941586703868030e-02,3.165489502573236996e-02,-9.218738769646808717e-03
3.200000912982527979e+01,1.199999685464564294e+02,-4.202151651367272756e+00,1.866357397114918812e-02,-3.561569460632298817e-02,2.931577221771662634e-02
3.200000345796274104e+01,1.199999636224733450e+02,2.945444005199736592e-01,8.157374521889941207e-03,-5.058027434857221075e-03,3.753090193445707268e-02
3.200005534850217970e+01,1.199999424278320532e+02,-7.662366801506235170e+00,-3.635662838262889579e-02,-2.117392056293289360e-02,-7.380379129007289506e-03
3.199994830517815103e+01,1.199999423846925595e+02,3.471691208636457304e+00,4.727701338433706185e-02,4.627434851256589238e-02,6.176576006538526953e-02
