gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-2.831833918536233799e-02,-7.204062374631996224e-03,8.571698889866334603e-02
-4.537678534589160984e-03,8.760660196638911726e-03,-8.497748317494811798e-02
-9.551391161839878352e-02,-4.163261384704092238e-02,8.624711414531299877e-04
-3.151407715763229755e-02,-5.013733566228224109e-02,8.109544238857649412e-02
-4.956654924579051436e-02,-5.769571940214159728e-02,7.360391228459924572e-03
-1.303349015692403107e-02,5.907752961482586052e-02,3.424339710574351298e-02
-8.850163513304698526e-03,2.956577555729866802e-02,-2.628561706866456172e-03
2.996841579863800467e-02,-1.056427674014554820e-02,-3.105139573942933620e-02
-7.701555325323540535e-02,-1.707120361823775967e-02,-6.033907897751030619e-02
-1.898507333120092724e-03,-2.498186829147048746e-02,1.804785090241728396e-02
-1.665136267996357791e-02,2.964977301961127173e-02,2.525371385873337662e-02
5.802077862169284853e-03,1.813161564682741478e-02,-1.289544877659215827e-01
1.740690019764775526e-02,6.881030107221449386e-03,2.793103011768033328e-02
-5.111649684444798114e-02,1.651174901827011376e-02,-8.600300687542243583e-03
-1.656421539459967604e-02,1.992389545831037626e-02,-4.190584953464859819e-02
-1.364714942556109929e-02,-2.976310613303729743e-02,-6.866546144404529761e-02
-1.299801165737463071e-02,-1.005858992851566035e-03,8.146729876746464094e-02
1.343036717411826356e-02,-1.536404726811878112e-02,-4.126885522692291114e-02
4.421728098551600677e-02,1.889436124311979354e-02,1.355854349053253194e-01
-6.791717793427558096e-03,3.777120186142869651e-02,2.127592514110765790e-02
1.918288248653873124e-02,-1.289897214197778356e-02,4.699322605613350662e-02
-2.739218538759089633e-02,1.456272172767458534e-03,6.219275719392337171e-03
-7.804780189471689084e-03,-1.446029767704877511e-02,-6.066537169565673453e-03
9.172965680846388581e-02,1.639426313095215587e-03,-1.109528146328730286e-01
-5.458705626955470507e-03,1.842018360527299808e-02,3.233007400965005884e-02
1.874078137509017569e-02,5.997540923396729035e-02,-5.173268507597296451e-02
-3.647755061510352809e-02,5.551528920372935001e-03,3.575002655670344448e-02
6.262285876769671522e-02,3.269402820125313913e-02,2.179924152711808574e-02
1.176513823032540595e-01,2.216926690377619275e-02,-5.869093399056945354e-02
-5.200411843344428242e-02,1.971909666825645557e-02,-1.797947958961045381e-02
-2.749525449599632757e-03,-2.014931557047058841e-03,-1.256492665997420411e-04
3.683723499543439112e-02,-4.866535529031606327e-02,6.693444826773634060e-02
7.513629869060869937e-02,6.693706684915250171e-02,1.574541128972537993e-02
6.763373509589407084e-02,5.409726461613892368e-02,1.954737998681909880e-02
-5.487116086416462396e-02,8.287446890210893591e-02,-2.255436167351925619e-02
2.033523316546098983e-02,-1.014176359404925926e-01,-6.086551412394885542e-03
-5.192369583017006351e-02,-9.515574683330171868e-02,-4.531768449328345619e-03
4.504303097027096553e-02,-2.171926989627544213e-02,-2.002656009176408819e-02
5.569384381235032572e-02,-1.747544973362719772e-02,6.789074944180453763e-02
7.548804828280890333e-02,-1.112123642456796374e-02,6.557130274129692460e-02
-4.071913570054642301e-02,6.072253936826188525e-02,-2.248350756907130377e-02
1.456756826072385692e-02,1.506658591097038702e-01,3.751490886135249933e-03
-2.203587424149550111e-02,-1.319823036089683328e-02,4.415861668157364250e-02
-1.939728172171474238e-02,3.662561564224568050e-02,-1.307502127272925155e-02
-3.000566836281168964e-02,-1.048314428875813872e-02,4.281532906301086655e-02
9.349322681923293021e-02,-5.849649879741711245e-02,1.183156222339325388e-02
1.727820849181633742e-02,6.144596235887103686e-02,2.175770346648847609e-02
9.681640212396355749e-02,7.934308066299063100e-02,7.575944271209483771e-02
-2.727836636290196723e-02,-1.679782549049649298e-02,8.697132433897995785e-02
7.710240783394774200e-02,-3.391692085794555892e-03,-3.732276401327982301e-02
4.607382180761279006e-02,4.436717080884642478e-02,-3.926321612487924939e-02
-3.246533886232626925e-02,-1.211097524372324943e-02,-8.194684582164093664e-03
6.325705148331019212e-02,3.391904184833182540e-02,8.505441649174338981e-02
1.537127042997718561e-03,8.763036590082543681e-03,6.227871782264454703e-02
8.151145458852281089e-02,-4.071932284322901489e-03,-1.946037610122434286e-02
6.059795587493636143e-02,-3.651431109316870954e-02,-8.898163492926518259e-02
-3.917318026454891938e-02,2.685968862203183538e-02,9.689546179978535817e-03
1.865536634866692524e-03,-7.197390457038246349e-03,8.298240655390722031e-02
-1.313451279870351054e-02,-1.766077105480969717e-02,-2.462872785380695439e-03
-1.194084531653736864e-03,-9.343888482263423487e-03,-3.419447777230238267e-02
5.598453936065911352e-02,2.665969737887414169e-03,-1.157911352077241503e-02
1.010021807455916271e-01,2.400136881185795448e-02,1.631090272958261866e-02
4.000367472448736195e-02,1.712514382924745782e-02,1.768714446529852033e-02
-1.683851515672988436e-02,4.164468114956263595e-02,-4.466465172167094488e-02
5.730747578372049483e-02,1.549504564159943573e-02,4.892319766424414740e-02
3.297652592095037111e-02,1.678551450259392966e-02,-1.854028804761760282e-02
5.061980641442809237e-02,6.005764029982954555e-02,-4.046030095289002843e-02
3.672663549530196664e-02,1.076885675764283415e-02,3.398437965963654796e-03
-1.783586835918390609e-02,6.415511904805795695e-02,-1.718624409199294781e-02
3.746991300751488507e-02,-2.763433618589567278e-02,2.058916612803009250e-02
2.240767944765803543e-02,-1.383749857449789386e-02,-3.871360416431271489e-02
3.799182584392678252e-02,-8.352642643906028896e-02,5.354088434787573902e-02
-9.753986892786885299e-03,2.278320097108478201e-02,1.874009812920602452e-02
-5.188011317922771454e-02,5.695692482696099179e-02,3.258616958686260529e-02
1.583855326273859304e-02,7.029403509566604230e-03,1.724087672103265245e-02
