mag_x (uT),mag_y (uT),mag_z (uT)
3.252849387604029374e+01,-3.616565592131065543e+00,3.770919834524617187e+01
3.251838982401898903e+01,-3.608512679756461061e+00,3.771202654431116486e+01
3.251292485800924226e+01,-3.599124481104480022e+00,3.771358103225721692e+01
3.252476440298740101e+01,-3.595772436217603119e+00,3.769887294641696229e+01
3.251711985661435023e+01,-3.605798819447666670e+00,3.770965653783251526e+01
3.250943872860953121e+01,-3.609914396809584147e+00,3.770923606445137466e+01
3.251963076991884805e+01,-3.600683080413541681e+00,3.770950194921904597e+01
3.252699238745554311e+01,-3.603900455799839975e+00,3.769196883383972363e+01
3.250461362138903354e+01,-3.608189305150433679e+00,3.769319423981372807e+01
3.252998950902036057e+01,-3.608795487610942487e+00,3.769279940151007935e+01
3.251627692106998779e+01,-3.615192424974858376e+00,3.770005406901427847e+01
3.251571446071162796e+01,-3.598909307870295393e+00,3.767637865057712787e+01
3.251138797596208718e+01,-3.610094442314404795e+00,3.771605720689484542e+01
3.252203727767199837e+01,-3.604211841434988628e+00,3.771883351835979425e+01
3.251371198292828524e+01,-3.599218559657244576e+00,3.772670473681711911e+01
3.251973802561983717e+01,-3.612770598786216869e+00,3.769670269044255662e+01
3.252374553891857545e+01,-3.604739587738921891e+00,3.768260548841536917e+01
3.250968041098702344e+01,-3.606623496490143577e+00,3.770388670431088229e+01
3.252184921569116227e+01,-3.597968615916047774e+00,3.769493507687980838e+01
3.250500188516080158e+01,-3.602147305593779603e+00,3.770069790120648889e+01
3.253392909548588818e+01,-3.624641756175021712e+00,3.770708137698295559e+01
3.252732386864587966e+01,-3.610751291649687111e+00,3.771177952374225839e+01
3.251957998910484804e+01,-3.595866073988868372e+00,3.770442430664378719e+01
3.252264556204586654e+01,-3.608447803349537519e+00,3.770879139081084475e+01
3.250782327106933423e+01,-3.603135062511676256e+00,3.769714400695576018e+01
3.251756558087015492e+01,-3.619767286001112971e+00,3.768783193859219693e+01
3.250360167623110641e+01,-3.612736162434875276e+00,3.769810689274348192e+01
3.253075362950103511e+01,-3.601853092815641144e+00,3.770272645141759682e+01
3.252764428273376751e+01,-3.601961002648534915e+00,3.770111662514510442e+01
3.251190551240890159e+01,-3.619361256413194283e+00,3.772741571640101910e+01
3.252064832823263885e+01,-3.606889292583939088e+00,3.769416694319414063e+01
3.253436720376551960e+01,-3.610532326083602861e+00,3.769029285942936980e+01
3.253502170244816938e+01,-3.604953973772852649e+00,3.770609347170137227e+01
3.252967665874853509e+01,-3.608407205838030318e+00,3.769749903050186646e+01
3.251823759494308064e+01,-3.599450482668006490e+00,3.771418092222927498e+01
3.251946346569477697e+01,-3.601203736631832797e+00,3.772835732841896572e+01
3.252682247712287023e+01,-3.603474769215376572e+00,3.769180827416681723e+01
3.252899104682136766e+01,-3.612924132188890969e+00,3.769546162710477688e+01
3.253429755508547316e+01,-3.607299335755076442e+00,3.770462806125041766e+01
3.252038886698419162e+01,-3.611175819121421604e+00,3.770757667319351469e+01
3.253233719046428263e+01,-3.605980748933734770e+00,3.771489364405481837e+01
3.251535439052594256e+01,-3.614779842642652508e+00,3.769215630264324091e+01
3.251684604349548380e+01,-3.599890350117195936e+00,3.770530386169781423e+01
3.251611363251446107e+01,-3.599213682043608920e+00,3.769921993864067389e+01
3.252077179846708788e+01,-3.608539229616852140e+00,3.771290011529443120e+01
3.252161387871516496e+01,-3.621616525587897151e+00,3.767986221193750396e+01
3.251249982903542701e+01,-3.629890436964630318e+00,3.770850085318236466e+01
3.252239610653504798e+01,-3.586801351178181996e+00,3.768915972560675698e+01
3.250916741128135357e+01,-3.607624443425572647e+00,3.770979723364480662e+01
3.250965666880273375e+01,-3.615951198849070902e+00,3.771141012992460873e+01
3.250221772838369105e+01,-3.608003391215298006e+00,3.769453474090389022e+01
3.251636332936470097e+01,-3.606634570966675390e+00,3.768503502963908147e+01
3.251014543411489655e+01,-3.612701510630203394e+00,3.770192994170955814e+01
3.250624427192937560e+01,-3.621344826725534372e+00,3.770208088495153476e+01
