accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-2.361576591433555989e-03,3.895480029137711984e-06,-9.808701205969251546e+00
3.358260382459484720e-03,-1.048598804180032873e-03,-9.791538529469089980e+00
-8.232898150410242200e-03,1.326772803654245950e-03,-9.794677063474344081e+00
5.385430739480348561e-03,-4.986401629891221328e-03,-9.794166148681524575e+00
2.118234759113713818e-03,-4.920884041038787321e-03,-9.797692588886251386e+00
-8.854081182929637124e-04,1.823742850391457497e-03,-9.791293782686519620e+00
6.822079039843650071e-03,-3.763765464569293921e-04,-9.792006980431086305e+00
7.511044032695428536e-03,-9.462297260543657551e-04,-9.794433906652660227e+00
4.475687502278858157e-03,7.528458085116221388e-03,-9.800245356621278603e+00
-1.522329408398925788e-03,-4.910686606320289159e-03,-9.791731080185853031e+00
-2.724988501388590605e-03,-2.092950663237435997e-03,-9.793708543029479685e+00
-8.198931477524747026e-05,-3.570388845731030207e-03,-9.797588979766917561e+00
-7.993821672905776152e-03,-6.152152738559565209e-03,-9.791668642881003137e+00
-2.790053333949261711e-03,-1.557123792801261807e-03,-9.801311381620637420e+00
-1.604596936403564949e-03,-2.280823776182718757e-03,-9.799823480017082034e+00
4.059340830271472057e-03,-7.382277042297911290e-03,-9.788867505101119804e+00
1.434267724087534860e-03,-2.425576302409447344e-03,-9.798854330536148183e+00
2.590719316453100277e-03,-2.749524048178950998e-03,-9.799032845142225057e+00
-1.315404210861810920e-03,-1.365763027545202320e-03,-9.792921121994085709e+00
-3.303157042618907677e-03,-3.611496907054154073e-03,-9.804337307240523103e+00
-4.501491105681693257e-03,-7.682728312415602716e-03,-9.791653142815340161e+00
3.056698124948800926e-03,5.833448216478621245e-03,-9.797465720256139932e+00
-9.088389200539355190e-04,3.521562446834919542e-03,-9.788451620858856117e+00
1.133936679643357971e-03,-5.631815377406474213e-03,-9.786647633326545304e+00
-1.499960705116150633e-03,-6.385806213337226738e-04,-9.797319474825231467e+00
-1.513189669870534763e-03,-3.476257084418230611e-03,-9.787235201286266673e+00
2.812029167448229072e-03,3.128620621147134954e-03,-9.791120785259408876e+00
