gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.200000877611321926e+01,1.199999722150057124e+02,1.721712998828969443e+00,9.980383853837439645e+00,-5.246825525677326074e-02,-2.501236702594530729e-03
3.199997067439996457e+01,1.199999600335597449e+02,1.098580526493062592e+00,9.974089305295043673e+00,6.164723171668703983e-02,-3.042294089286455908e-02
3.200004090430590509e+01,1.200000663636319302e+02,8.215347134613685043e+00,1.004233980238812940e+01,-6.573721149514262507e-02,7.405641485752918751e-02
3.200004413847147333e+01,1.200000380248661997e+02,1.507422768428735571e+00,1.004977980334861165e+01,-8.601431749812484331e-03,2.662376426580176023e-02
3.200003476733156305e+01,1.200000505672282998e+02,-1.016190715543555356e+01,9.964069535983146153e+00,1.844645709535163922e-02,-2.749859907973755888e-02
3.200001665318625044e+01,1.200000094649362268e+02,-5.077043595127594067e+00,9.960477454791252683e+00,-2.103705263312751969e-02,-4.328331995156167733e-02
3.200006128275465045e+01,1.199999685342383913e+02,2.115696847072393361e+00,9.968653571771506350e+00,-8.413406285302987841e-02,-2.885126770811322766e-02
3.200007520321920396e+01,1.199999490092950936e+02,3.953074252397480226e+00,1.003182287799676686e+01,-1.304025679590754272e-01,-2.302503320216839171e-03
3.200007813256129907e+01,1.200000189127272279e+02,-1.450627637213380439e+01,9.984121856878212853e+00,-2.854133884367924395e-02,-3.622781756720718643e-02
3.200014342800000833e+01,1.200001298132150964e+02,-4.248834326939184614e+00,1.010422287100493399e+01,5.954293850467173854e-02,3.373776013553814960e-03
3.200007062469990871e+01,1.199999747730163193e+02,1.719233309429903045e+01,9.989145996550970352e+00,1.273686692555607292e-01,5.209103943959268040e-02
3.200006446166151619e+01,1.199999692228611252e+02,6.672036899955060996e+00,1.001902084232650836e+01,2.252314702515145761e-02,-9.424555013124952252e-02
3.200015097323096569e+01,1.200000149074798230e+02,3.952537920607941402e+00,9.972378565638235770e+00,6.769034741642904196e-02,6.833941611384976300e-02
3.200017381037017117e+01,1.199999068945419509e+02,6.465583187189789527e+00,9.954315528500794485e+00,-3.807831684775825343e-02,-2.273983895871643790e-02
3.200014187150797085e+01,1.200000552589732337e+02,2.972357449343202340e+00,1.004495999316867483e+01,8.112819359437027297e-03,9.073255554600317616e-03
3.200014901970081382e+01,1.199999938028157516e+02,-1.913910336163932691e+00,1.002326739381093113e+01,3.586739645371763568e-02,8.464128563468141520e-02
3.200013213211248342e+01,1.199999637940157839e+02,1.718465105616815647e+00,1.003718939787866482e+01,-4.441959764935441042e-03,4.386333449490101288e-02
3.200012617420939165e+01,1.199999953133927164e+02,-1.795270444879462635e-01,9.939000345991926721e+00,6.898567299304961264e-02,2.354273365523785674e-02
3.200010287667299735e+01,1.200000459327532525e+02,-1.151028076717116910e+01,1.002826027145330201e+01,-8.030468602044667226e-02,1.968167540728214815e-02
3.200012771738678907e+01,1.199999304075002726e+02,-1.569142090817921087e+01,1.011418745640348682e+01,-3.828398722809919340e-03,4.738918437158091274e-02
3.200015753306114163e+01,1.200000174628742968e+02,2.248866809342957129e+00,9.963956222317047917e+00,5.971620758327250006e-02,8.360479829152438203e-02
3.200018008526618019e+01,1.199999806680668968e+02,-4.271108688842166323e+00,1.004225311720171021e+01,-1.893259188190649089e-02,-3.978620625252912713e-02
3.200022970504763009e+01,1.200000565012423692e+02,-1.132639226745037675e+01,9.905652001703462162e+00,-5.540129451027595714e-02,-1.597878625137359905e-03
3.200018905573195838e+01,1.199999724154607748e+02,-5.198434442364802344e+00,9.997625024914713165e+00,-1.181243759795656476e-02,-5.653202554583032502e-02
3.200015899996338931e+01,1.200001017690790945e+02,-2.408561555403736421e+01,1.001816109772584973e+01,-3.305017970526354792e-02,9.308330257401596641e-02
3.200022145809724350e+01,1.200000743628820601e+02,-7.184483879270295859e+00,1.005965862651468790e+01,-3.503797433547764517e-02,6.949211512230030197e-02
3.200021405668988450e+01,1.200000353346327557e+02,1.091455552168808296e+01,9.957332546015079444e+00,-1.704743176712262762e-02,1.929703862435791853e-02
3.200027879034799838e+01,1.200000174628517584e+02,8.530052376282556637e+00,9.907415544225461446e+00,-8.472566738694528587e-02,-6.866750628617146468e-02
3.200022988992032680e+01,1.199999343252726618e+02,4.446073750864250940e+00,9.949946943058385784e+00,6.403189123767104958e-04,1.883697397666802414e-02
3.200017369738444017e+01,1.200000242958366528e+02,5.181612685919819938e+00,1.001353430350405738e+01,4.867410737248704239e-02,-4.342607552470630072e-02
3.200024985942144440e+01,1.200000358027853053e+02,-5.276184467902707453e+00,1.000816908933548355e+01,7.106771711649631507e-02,-8.284979621758910284e-02
3.200024976497389417e+01,1.200000214146095487e+02,4.757299542568415696e+00,1.001521583871958399e+01,5.190629422578205143e-02,-3.593490661265493630e-02
3.200029924379398238e+01,1.199999981400785032e+02,-7.291516157748587190e+00,9.963726402126090065e+00,6.531487484029499524e-04,-8.983879427715114885e-02
3.200038786323369777e+01,1.200000168492950507e+02,1.676014819942306389e+00,9.999120146887477745e+00,5.094269588440039631e-02,-4.187697877774620298e-02
3.200033381778567332e+01,1.199999364804222211e+02,2.779796605204976512e+00,1.001088513870599961e+01,5.896111997474673405e-02,-4.323073004681163983e-02
3.200033828129861746e+01,1.199999684417407622e+02,-6.750090136388921636e+00,1.002034944290644347e+01,4.037053468246961513e-02,9.623135803296908874e-02
3.200035572870209677e+01,1.200000491730505985e+02,5.719367550028250591e+00,9.912034363625810585e+00,4.026058667816977132e-02,-3.267408522870426935e-02
3.200019884457073971e+01,1.200000126032892069e+02,3.220724836257266455e-03,9.981829058597446291e+00,-3.336249119847103234e-02,2.086121654959013916e-02
3.200035091195614712e+01,1.199999590228782154e+02,-3.331440888107500164e+00,9.917756521467344655e+00,-3.538448795897718852e-02,-2.291375021579622126e-02
3.200038208711650611e+01,1.200000561428154384e+02,7.803938951913072408e+00,9.986748308258123430e+00,-7.321422219416830190e-02,1.282209483476542261e-02
3.200041588858373132e+01,1.200000251313949065e+02,-4.117748792134213076e+00,9.886793790556264838e+00,3.029407781192444086e-03,-3.243622724453842227e-02
3.200030212494900184e+01,1.199999436859005613e+02,1.040692525803318347e+01,1.004450534127076011e+01,6.699902656453164684e-02,4.348337111058706711e-02
3.200040958676141400e+01,1.200000622206005545e+02,-1.017489789679739864e+01,1.003572348502480693e+01,-7.250013242578484673e-03,-3.128736286905332842e-02
3.200033987286854398e+01,1.199999737737658592e+02,-1.315481063581049437e+00,9.902116688760211005e+00,3.200164958195289566e-02,-1.149015492203278414e-02
3.200043056853417056e+01,1.199999550384016231e+02,-6.477724532012217651e+00,9.991192581812347484e+00,-3.314481025560094690e-02,-3.278676259919963837e-02
3.200037456559412874e+01,1.199999890535006699e+02,-7.779652542745207899e-01,1.000184918469595274e+01,-8.841937710205152734e-03,-1.104539713147652674e-01
3.200046038390191683e+01,1.200000540944181040e+02,-1.287718639639225771e+01,1.005952939979377625e+01,-1.032179722661554985e-02,-1.751061066486354553e-02
3.200039965534053721e+01,1.200000166290483747e+02,-3.620665097988903902e+00,1.000369850892406198e+01,-1.323447361805696332e-02,-2.508539325473492856e-02
3.200046120942439387e+01,1.199999773662891869e+02,2.732240748414912268e+00,1.005049455231495514e+01,7.481551932918904801e-02,9.260177920940304563e-02
