gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-2.734880744339682201e-02,9.349730270337537619e-02,2.974731212670565783e-02
-8.181349563908001110e-03,4.795595842484789983e-02,-2.512274632683751305e-04
3.718916122168818700e-02,1.919579017664683682e-02,-1.934965146562318827e-02
5.935942694435222128e-02,-7.492767292259609746e-02,5.371906575099576198e-02
-5.445478859555979989e-02,2.010609358182966280e-02,4.238966359201347400e-02
-2.683761757805345691e-02,1.547061396887257703e-02,-8.367365979576251583e-03
3.873320559822857057e-02,3.868043387201692412e-02,-4.199332668618852189e-03
3.318797589437592899e-02,-8.006474983276208601e-02,3.119100811566642706e-02
1.315962813335956605e-02,-1.154231540568768054e-02,-2.064042869303782737e-02
3.754859347468261083e-02,4.685670090694190465e-02,-2.691555169837151276e-02
2.340903478314522446e-02,-3.465318094770312995e-02,5.550926007182906477e-03
4.085595310291972176e-02,-4.379031948977551297e-02,2.501489571302946066e-02
4.552053100246089556e-02,-5.353888034074638647e-02,-3.638875078228362425e-02
2.240452419723151789e-02,-9.453210886213311154e-03,7.039887645871442667e-02
6.688641310763236703e-02,-8.373801342271553275e-03,-2.544524702537378710e-02
-3.194305822834336839e-02,-2.717073192120275302e-02,9.214398402820914158e-03
-2.737942158655597147e-02,1.469199055512589863e-02,-5.052537164228498162e-02
4.473042144779663248e-02,3.512504568819212279e-03,-3.801545122151950978e-02
7.817741062686024353e-03,-2.921352221954976423e-03,8.202710759122600059e-02
3.015124962581706980e-02,-7.005535308891560134e-03,4.126948456296906237e-02
-3.135176776505689544e-02,-1.070023147131344242e-02,-4.151245430051683782e-02
-3.352470205197886910e-02,2.764424340306890701e-02,2.272166179835618041e-02
3.843413647413780609e-02,-4.210026732218109108e-02,3.012424039251671449e-03
-5.813580673105934321e-02,4.848497845238906173e-02,1.115950752080207588e-02
1.914994239376302532e-02,-6.999885293999448532e-02,-1.299789704166029979e-02
-6.905772493646512682e-03,2.104639495342503289e-02,-4.661075734816703259e-02
-3.264464408256934069e-02,1.426290624286708983e-02,-2.157155466529479121e-02
-1.594970895919725282e-02,1.595607326143094057e-02,-8.110971418171701933e-03
3.322743905602586895e-02,-3.331343338959259770e-02,7.828635714299291004e-02
3.224887803329676284e-02,4.862269526191251995e-02,-1.718387575095437284e-02
-3.301564938146246686e-02,-6.133643244826834234e-02,-1.147492030417483072e-02
2.466922251332304486e-02,1.257296177643945079e-01,5.593986932239225496e-02
1.860504359405126124e-02,-6.660705406593504796e-02,3.108658189101862548e-02
2.002776743353050851e-02,4.258050681402948678e-02,4.875363610842795015e-02
-7.320784228122353965e-02,-3.881552886934798441e-02,4.180532884048021591e-02
5.462312423092505892e-02,4.565823304556067275e-02,6.839712848429709002e-02
2.082715806710392845e-02,-4.493566949007855860e-03,4.464977129692750644e-03
3.912513145742350928e-02,3.613338759355649854e-02,1.110095828103372165e-02
3.179749594620775999e-02,-2.855686480154880080e-02,-8.347668737016052110e-02
-8.984603273089240838e-02,-3.507453154353221136e-02,2.708640562810225166e-02
-1.251327655683802040e-02,3.048228524098475431e-02,2.815129185157638075e-02
4.668294830338181461e-02,-2.529500123943586795e-02,-9.721701575181543320e-02
-6.820454353634362865e-02,-9.973974587806921921e-02,2.987583015129962813e-02
1.766157953650859466e-02,-6.031582401320336080e-03,2.872676130197462929e-02
1.001632676399210643e-02,-3.044540655475571483e-02,2.090676028324644359e-02
3.086708901372259891e-03,-6.280082117719557391e-03,-1.678465455708359755e-02
9.390565003247957699e-04,-7.144775998984659315e-02,-1.272872192573492323e-01
-2.112394143493278795e-02,1.475774807550665930e-02,-2.324099472384745513e-02
-2.714989891739986311e-02,-1.785937243148666073e-02,2.473861164825312542e-02
-5.365090195219893165e-02,9.662730328287622364e-03,3.424532669588545991e-02
-5.340131423600361950e-03,5.375671889079822879e-02,2.170784503790045006e-02
4.076039011383560118e-02,3.729592713673680806e-03,2.123807278292564812e-02
-2.904645578084279894e-02,4.627180977003665652e-02,3.481654148864161968e-02
1.600622826069032084e-02,-3.158176742798531056e-02,-2.293225588057292222e-02
-1.485177874569690130e-02,1.607435707228351343e-02,-6.967703692440190694e-03
6.700449027580110753e-03,-4.552012580075008585e-02,-2.393614099682610588e-02
-4.210640342551130884e-04,-7.143646312548283805e-02,5.452227695748607800e-02
4.849752836724994381e-02,2.465634932875516994e-02,9.614966067841645980e-02
-2.599918095242055582e-02,-1.722403922331388129e-02,-2.899678632025253638e-02
-3.119509162000618299e-02,5.486866382168936046e-02,6.358284897002830505e-02
2.999104620829451742e-02,-2.901075702632885042e-02,-1.419218709429283937e-02
8.058249675074710683e-02,-1.168879732602963809e-02,-6.154940606150822308e-02
