mag_x (uT),mag_y (uT),mag_z (uT)
3.252009392742349547e+01,-3.594576572647589785e+00,3.771969078718176860e+01
3.253255776185558545e+01,-3.599618682705459705e+00,3.770857733456041672e+01
3.250578651881217240e+01,-3.594892872860412592e+00,3.768241672130671560e+01
3.253480575045313117e+01,-3.597806059559309766e+00,3.769947064356526312e+01
3.251660523556772375e+01,-3.620811737871023173e+00,3.769873261936511710e+01
3.252172323000296927e+01,-3.609658105880551471e+00,3.770628214478988127e+01
3.253081194774399165e+01,-3.618708951189031797e+00,3.768903735860794058e+01
3.251836935285154340e+01,-3.603296126242898634e+00,3.768949258576684258e+01
3.253111923035558561e+01,-3.629961268430837329e+00,3.768247923346560668e+01
3.251947931490865784e+01,-3.611246943405515442e+00,3.770451054848189187e+01
3.253969955251869806e+01,-3.607875759927308579e+00,3.770257676360121479e+01
3.252105185226235307e+01,-3.610355950977660822e+00,3.771734917357375849e+01
3.252995580579311508e+01,-3.607652459111275967e+00,3.769734550270986517e+01
3.250909454285584133e+01,-3.611903909752657960e+00,3.770804642016180708e+01
3.249890510140509292e+01,-3.616701661485235864e+00,3.769395890178216746e+01
3.252082421489549802e+01,-3.615641276109729851e+00,3.770578522213626371e+01
3.251393541779246732e+01,-3.610170593408480677e+00,3.769846120901370057e+01
3.252154967638963257e+01,-3.609308871571468291e+00,3.769380754068507144e+01
3.253048037932536118e+01,-3.609637154765747535e+00,3.769388187393334277e+01
3.251742904765457354e+01,-3.616844711053748274e+00,3.769276159568606488e+01
3.251761349360210573e+01,-3.605653637795899868e+00,3.771146876942103177e+01
3.252094201684487018e+01,-3.608980872036025467e+00,3.768985187165998241e+01
3.251336630596600941e+01,-3.593712933168722756e+00,3.769640753481822770e+01
3.253233208957782807e+01,-3.620524348934048398e+00,3.769374044525633138e+01
3.251795405567333574e+01,-3.601825326677026151e+00,3.770565797597131308e+01
3.252678927428226530e+01,-3.609391700449403384e+00,3.770666701428091017e+01
3.250495396281931448e+01,-3.585050493711839703e+00,3.771149088117756065e+01
3.252450803839634119e+01,-3.612571625368645289e+00,3.769649338917201931e+01
3.254187277956657454e+01,-3.589048833889637358e+00,3.770688317845689852e+01
3.252578552717892535e+01,-3.614703225371421524e+00,3.770400391378294103e+01
3.253156312962817509e+01,-3.595907195625610786e+00,3.771223856146712450e+01
3.250640833793863749e+01,-3.629590570602841737e+00,3.770036606102135579e+01
3.251560933874768722e+01,-3.608859672083587267e+00,3.771780884695706959e+01
3.253230387885037800e+01,-3.625109524227736912e+00,3.770490115309247869e+01
3.253028327925548524e+01,-3.606594488447093738e+00,3.770596373974817084e+01
3.252912901051907824e+01,-3.608653480697419091e+00,3.768730815441261228e+01
3.252715295119953254e+01,-3.603958235661705700e+00,3.769662168243412026e+01
3.251620008634406389e+01,-3.616631774074079875e+00,3.769935153493170787e+01
3.253589592545979059e+01,-3.612805720585278824e+00,3.770184096748986491e+01
3.252022701017661177e+01,-3.637078483389436290e+00,3.769460172939034948e+01
3.250699684514482612e+01,-3.615151541426133264e+00,3.768811032453973553e+01
3.252230983601664605e+01,-3.614773186544849803e+00,3.770604215520305758e+01
3.253686590773904186e+01,-3.624829194379520558e+00,3.770364659108265215e+01
3.251482845918862807e+01,-3.607044364189889052e+00,3.770138913951663540e+01
3.253064101405013986e+01,-3.618104640224573565e+00,3.770478579248818107e+01
3.250459945964058051e+01,-3.623284910358502309e+00,3.769492277020312798e+01
3.250401067878843975e+01,-3.605834195563399014e+00,3.770586131942359032e+01
3.250865947768051001e+01,-3.606687497666981823e+00,3.769139727464321510e+01
3.251369439645399240e+01,-3.609337522953406818e+00,3.770661912095382462e+01
3.252597315738793071e+01,-3.607170367676134415e+00,3.770442271249731192e+01
3.252649470889075189e+01,-3.600479318062684619e+00,3.770865947369351545e+01
3.253028931457224360e+01,-3.607235371945269442e+00,3.771019026404995600e+01
3.250309265510129819e+01,-3.602579768054546605e+00,3.770915333384845525e+01
3.251550547384935896e+01,-3.598306439319213457e+00,3.771921279932129778e+01
3.251428444395961037e+01,-3.608345956305285984e+00,3.769135283877226072e+01
