ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
0.000000000000000000e+00,-7.728464431007833800e-04,-9.794826232527723775e+00
0.000000000000000000e+00,-7.728464625678926198e-04,-9.794826233259946946e+00
0.000000000000000000e+00,-7.728464820350016426e-04,-9.794826233992171893e+00
0.000000000000000000e+00,-7.728465015021106655e-04,-9.794826234724396841e+00
0.000000000000000000e+00,-7.728465209692193631e-04,-9.794826235456620012e+00
0.000000000000000000e+00,-7.728465404363278439e-04,-9.794826236188843183e+00
0.000000000000000000e+00,-7.728465599034359994e-04,-9.794826236921066354e+00
0.000000000000000000e+00,-7.728465793705440465e-04,-9.794826237653291301e+00
0.000000000000000000e+00,-7.728465988376519852e-04,-9.794826238385512696e+00
0.000000000000000000e+00,-7.728466183047595986e-04,-9.794826239117739419e+00
0.000000000000000000e+00,-7.728466377718671036e-04,-9.794826239849964367e+00
0.000000000000000000e+00,-7.728466572389743917e-04,-9.794826240582185761e+00
0.000000000000000000e+00,-7.728466767060815715e-04,-9.794826241314410709e+00
0.000000000000000000e+00,-7.728466961731884259e-04,-9.794826242046635656e+00
0.000000000000000000e+00,-7.728467156402952804e-04,-9.794826242778858827e+00
0.000000000000000000e+00,-7.728467351074018096e-04,-9.794826243511080222e+00
0.000000000000000000e+00,-7.728467545745081220e-04,-9.794826244243306945e+00
0.000000000000000000e+00,-7.728467740416142175e-04,-9.794826244975531893e+00
0.000000000000000000e+00,-7.728467935087203131e-04,-9.794826245707755064e+00
0.000000000000000000e+00,-7.728468129758259749e-04,-9.794826246439978235e+00
0.000000000000000000e+00,-7.728468324429314199e-04,-9.794826247172201406e+00
0.000000000000000000e+00,-7.728468519100369733e-04,-9.794826247904426353e+00
0.000000000000000000e+00,-7.728468713771419847e-04,-9.794826248636649524e+00
0.000000000000000000e+00,-7.728468908442471044e-04,-9.794826249368874471e+00
0.000000000000000000e+00,-7.728469103113518989e-04,-9.794826250101099419e+00
0.000000000000000000e+00,-7.728469297784563681e-04,-9.794826250833322590e+00
0.000000000000000000e+00,-7.728469492455608374e-04,-9.794826251565547537e+00
0.000000000000000000e+00,-7.728469687126649813e-04,-9.794826252297768931e+00
0.000000000000000000e+00,-7.728469881797691253e-04,-9.794826253029993879e+00
0.000000000000000000e+00,-7.728470076468727272e-04,-9.794826253762220603e+00
0.000000000000000000e+00,-7.728470271139764374e-04,-9.794826254494443774e+00
0.000000000000000000e+00,-7.728470465810797141e-04,-9.794826255226666945e+00
0.000000000000000000e+00,-7.728470660481830991e-04,-9.794826255958890115e+00
0.000000000000000000e+00,-7.728470855152861588e-04,-9.794826256691116839e+00
0.000000000000000000e+00,-7.728471049823890018e-04,-9.794826257423340010e+00
0.000000000000000000e+00,-7.728471244494916279e-04,-9.794826258155563181e+00
0.000000000000000000e+00,-7.728471439165939287e-04,-9.794826258887788129e+00
0.000000000000000000e+00,-7.728471633836964463e-04,-9.794826259620013076e+00
0.000000000000000000e+00,-7.728471828507984219e-04,-9.794826260352234470e+00
0.000000000000000000e+00,-7.728472023179001806e-04,-9.794826261084459418e+00
0.000000000000000000e+00,-7.728472217850019393e-04,-9.794826261816687918e+00
0.000000000000000000e+00,-7.728472412521034812e-04,-9.794826262548911089e+00
0.000000000000000000e+00,-7.728472607192046978e-04,-9.794826263281132483e+00
0.000000000000000000e+00,-7.728472801863056976e-04,-9.794826264013355654e+00
0.000000000000000000e+00,-7.728472996534068058e-04,-9.794826264745582378e+00
0.000000000000000000e+00,-7.728473191205072635e-04,-9.794826265477809102e+00
0.000000000000000000e+00,-7.728473385876079380e-04,-9.794826266210030496e+00
0.000000000000000000e+00,-7.728473580547081789e-04,-9.794826266942255444e+00
0.000000000000000000e+00,-7.728473775218082029e-04,-9.794826267674478615e+00
0.000000000000000000e+00,-7.728473969889082269e-04,-9.794826268406705339e+00
0.000000000000000000e+00,-7.728474164560078172e-04,-9.794826269138928510e+00
0.000000000000000000e+00,-7.728474359231076243e-04,-9.794826269871151680e+00
0.000000000000000000e+00,-7.728474553902067810e-04,-9.794826270603376628e+00
0.000000000000000000e+00,-7.728474748573060460e-04,-9.794826271335601575e+00
0.000000000000000000e+00,-7.728474943244050942e-04,-9.794826272067826523e+00
0.000000000000000000e+00,-7.728475137915037088e-04,-9.794826272800047917e+00
0.000000000000000000e+00,-7.728475332586021065e-04,-9.794826273532274641e+00
0.000000000000000000e+00,-7.728475527257006126e-04,-9.794826274264497812e+00
